birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2008,0-5M,8,4,1,1,1,1,0,0,0,0,50.0%
2008,6-11M,28,18,4,5,0,0,0,1,0,0,35.7%
2007,1,80,29,1,3,6,10,12,9,9,1,63.8%
2006,2,49,4,2,1,3,6,12,15,5,1,91.8%
2005,3,65,3,0,2,10,14,15,12,4,5,95.4%
2004,4,43,1,0,2,7,8,10,8,6,1,97.7%
2003,5,28,1,0,1,8,9,5,4,0,0,96.4%
2002,6,52,2,0,2,4,20,19,3,2,0,96.2%
2001,7,34,1,1,3,10,7,8,4,0,0,97.1%
2000,8,41,0,0,3,8,13,14,3,0,0,100.0%
1999,9,31,2,1,3,6,9,9,1,0,0,93.5%
1998,10,44,0,3,3,11,15,7,3,2,0,100.0%
1997,11,34,4,0,5,6,13,6,0,0,0,88.2%
1996,12,58,2,0,8,19,16,6,5,2,0,96.6%
1995,13,63,7,2,7,18,13,10,5,1,0,88.9%
1994,14,50,4,0,11,10,9,10,6,0,0,92.0%
1993,15,41,3,4,4,7,15,7,1,0,0,92.7%
1992,16,25,1,1,4,3,5,3,3,4,1,96.0%
1991,17,21,3,2,1,4,7,2,0,2,0,85.7%
1990,18,96,7,3,16,25,21,14,2,6,2,92.7%
1989,19,73,9,4,6,17,18,9,9,1,0,87.7%
1988,20,50,6,2,6,11,10,9,2,2,2,88.0%
1987,21,53,1,1,4,11,16,13,6,1,0,98.1%
1986,22,46,2,0,3,6,17,9,7,1,1,95.7%
1985,23,58,3,0,5,9,15,12,7,7,0,94.8%
1984,24,48,3,0,3,9,15,10,4,4,0,93.8%
1983,25,55,3,1,1,11,10,15,8,5,1,94.5%
1982,26,66,1,3,5,11,14,14,15,2,1,98.5%
1981,27,63,3,1,6,13,20,8,8,3,1,95.2%
1980,28,70,1,1,8,15,18,13,9,5,0,98.6%
1979,29,48,2,1,1,10,13,11,7,3,0,95.8%
1978,30,42,2,1,5,9,10,11,4,0,0,95.2%
1977,31,45,2,0,4,2,13,11,10,3,0,95.6%
1976,32,70,4,3,4,14,13,21,8,2,1,94.3%
1975,33,60,2,1,3,7,24,11,9,1,2,96.7%
1974,34,42,2,0,7,5,10,8,6,4,0,95.2%
1973,35,45,0,1,2,7,15,8,9,1,2,100.0%
1972,36,53,0,0,7,12,12,6,9,5,2,100.0%
1971,37,37,1,1,2,8,11,11,3,0,0,97.3%
1970,38,56,2,0,3,8,15,17,6,4,1,96.4%
1969,39,52,1,2,5,12,13,9,8,1,1,98.1%
1968,40,39,1,0,3,8,6,8,6,5,2,97.4%
1967,41,36,0,3,2,8,12,5,5,1,0,100.0%
1966,42,29,1,0,0,2,7,10,6,0,3,96.6%
1965,43,33,2,0,3,5,6,10,6,1,0,93.9%
1964,44,21,0,0,6,1,4,3,2,4,1,100.0%
1963,45,20,2,0,2,4,7,1,4,0,0,90.0%
1962,46,20,1,1,1,3,6,4,3,0,1,95.0%
1961,47,32,0,1,1,7,8,5,5,3,2,100.0%
1960,48,27,4,0,1,6,8,1,4,3,0,85.2%
1959,49,24,1,1,3,3,3,6,6,0,1,95.8%
1958,50,20,1,1,1,2,4,7,2,1,1,95.0%
1957,51,21,0,0,3,5,4,4,3,2,0,100.0%
1956,52,14,0,0,2,1,2,4,4,1,0,100.0%
1955,53,16,2,0,1,1,4,4,2,2,0,87.5%
1954,54,19,0,0,1,5,6,5,0,2,0,100.0%
1953,55,20,3,2,4,4,1,1,2,3,0,85.0%
1952,56,20,0,1,2,3,4,4,3,2,1,100.0%
1951,57,19,0,1,4,0,8,1,2,3,0,100.0%
1950,58,16,0,0,2,3,5,1,3,2,0,100.0%
1949,59,14,0,1,2,2,2,4,2,1,0,100.0%
1948,60,12,1,1,0,5,3,1,1,0,0,91.7%
1947,61,4,0,0,1,1,1,0,0,1,0,100.0%
1946,62,4,0,0,0,1,3,0,0,0,0,100.0%
1945,63,2,0,0,0,0,0,1,1,0,0,100.0%
1944,64,3,1,0,0,0,1,1,0,0,0,66.7%
1943,65,2,0,0,1,0,0,1,0,0,0,100.0%
1942,66,5,0,0,0,0,2,0,2,0,1,100.0%
1941,67,2,0,0,0,0,0,0,0,1,1,100.0%
1940,68,1,0,0,1,0,0,0,0,0,0,100.0%
1939,69,2,0,0,0,0,0,1,1,0,0,100.0%
1938,70-,6,1,0,0,1,2,0,0,2,0,83.3%
