birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2016	0-5M	13	6	2	0	3	0	2	0	0	0	53.8
2016	6-11M	36	30	3	0	3	0	0	0	0	0	16.7
2015	1	118	36	8	6	16	11	21	11	5	4	69.5
2014	2	83	6	5	11	13	9	21	10	4	4	92.8
2013	3	65	6	6	10	7	14	12	7	3	0	90.8
2012	4	55	8	10	8	7	10	12	0	0	0	85.5
2011	5	38	6	2	6	6	7	7	3	1	0	84.2
2010	6	53	1	3	2	19	16	6	3	3	0	98.1
2009	7	47	1	3	8	11	14	6	4	0	0	97.9
2008	8	34	0	1	2	11	11	7	2	0	0	100
2007	9	44	2	2	5	11	16	8	0	0	0	95.5
2006	10	48	0	4	12	16	8	6	2	0	0	100
2005	11	40	0	7	7	10	9	5	2	0	0	100
2004	12	44	2	2	11	12	11	5	1	0	0	95.5
2003	13	57	2	5	13	17	14	3	3	0	0	96.5
2002	14	42	0	5	7	13	11	5	1	0	0	100
2001	15	37	5	2	11	6	8	4	0	1	0	86.5
2000	16	43	0	5	8	15	10	2	3	0	0	100
1999	17	31	1	2	1	9	12	3	2	1	0	96.8
1998	18	54	5	2	7	11	17	6	3	2	1	90.7
1997	19	64	2	1	10	17	16	12	3	2	1	96.9
1996	20	38	2	5	9	11	4	4	3	0	0	94.7
1995	21	34	3	2	6	6	15	1	1	0	0	91.2
1994	22	45	1	3	10	12	14	2	2	1	0	97.8
1993	23	50	2	3	8	15	11	6	4	0	1	96
1992	24	56	1	5	7	12	17	11	3	0	0	98.2
1991	25	58	3	5	9	22	5	10	4	0	0	94.8
1990	26	48	3	7	9	13	9	4	2	0	1	93.8
1989	27	68	7	6	11	17	12	7	4	3	1	89.7
1988	28	46	4	5	12	9	10	0	2	4	0	91.3
1987	29	46	2	4	4	10	9	10	5	2	0	95.7
1986	30	50	4	2	1	9	17	11	5	1	0	92
1985	31	62	6	3	8	8	9	18	7	2	1	90.3
1984	32	74	3	1	4	10	16	23	11	6	0	95.9
1983	33	58	7	0	4	12	15	12	6	2	0	87.9
1982	34	55	5	2	4	7	12	15	4	6	0	90.9
1981	35	51	3	3	6	9	9	13	6	2	0	94.1
1980	36	57	11	1	3	8	16	10	6	1	1	80.7
1979	37	49	9	0	2	5	12	11	5	4	1	81.6
1978	38	48	9	0	4	3	16	13	2	1	0	81.3
1977	39	56	14	3	3	7	13	12	3	1	0	75
1976	40	31	11	1	1	0	8	4	4	2	0	64.5
1975	41	44	8	1	1	8	6	12	4	2	2	81.8
1974	42	46	9	1	5	9	10	6	3	1	2	80.4
1973	43	37	6	0	2	8	8	3	4	4	2	83.8
1972	44	36	6	0	4	7	6	6	5	1	1	83.3
1971	45	41	10	1	1	7	5	13	3	1	0	75.6
1970	46	22	1	0	0	3	10	6	2	0	0	95.5
1969	47	28	4	0	1	6	6	6	5	0	0	85.7
1968	48	34	4	1	1	4	5	6	4	6	3	88.2
1967	49	29	6	0	1	5	5	5	3	2	2	79.3
1966	50	27	4	0	2	2	7	7	3	1	1	85.2
1965	51	34	7	0	1	7	3	4	7	4	1	79.4
1964	52	43	8	1	2	3	9	14	4	1	1	81.4
1963	53	27	5	0	0	3	9	6	3	1	0	81.5
1962	54	27	2	1	2	2	6	3	5	5	1	92.6
1961	55	33	6	2	0	2	3	14	4	2	0	81.8
1960	56	35	5	1	1	4	8	12	4	0	0	85.7
1959	57	29	5	0	1	5	5	7	5	0	1	82.8
1958	58	31	4	0	1	5	9	9	2	1	0	87.1
1957	59	22	1	2	1	4	4	3	3	2	2	95.5
1956	60	20	2	1	1	1	4	4	3	3	1	90
1955	61	21	1	0	1	2	6	4	4	2	1	95.2
1954	62	12	0	0	1	3	3	2	1	2	0	100
1953	63	25	3	1	1	2	7	7	1	3	0	88
1952	64	20	1	1	4	3	3	6	1	1	0	95
1951	65	12	0	2	1	2	3	2	0	1	1	100
1950	66	11	1	0	1	1	2	3	0	2	1	90.9
1949	67	9	2	1	0	1	1	1	0	3	0	77.8
1948	68	11	1	1	3	1	1	3	1	0	0	90.9
1947	69	6	1	0	0	2	1	1	0	0	1	83.3
1946	70-	9	0	0	0	1	3	1	4	0	0	100
