birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2010,0-5M,11,3,3,1,3,1,0,0,0,0,72.7%
2010,6-11M,35,35,0,0,0,0,0,0,0,0,0.0%
2009,1,89,29,2,1,8,11,19,13,4,2,67.4%
2008,2,73,4,1,9,8,18,15,12,3,3,94.5%
2007,3,68,1,3,3,10,22,17,9,3,0,98.5%
2006,4,43,3,1,2,9,14,10,3,1,0,93.0%
2005,5,43,3,1,4,6,18,10,1,0,0,93.0%
2004,6,46,1,0,2,11,15,5,8,3,1,97.8%
2003,7,37,0,0,4,6,7,16,4,0,0,100.0%
2002,8,58,4,5,3,12,14,13,5,2,0,93.1%
2001,9,54,2,4,9,14,10,14,1,0,0,96.3%
2000,10,65,6,2,4,11,16,16,8,2,0,90.8%
1999,11,62,3,3,8,14,19,9,4,2,0,95.2%
1998,12,48,2,2,2,16,10,10,5,1,0,95.8%
1997,13,62,1,0,10,14,17,10,6,4,0,98.4%
1996,14,41,1,0,3,15,10,7,3,2,0,97.6%
1995,15,61,8,1,7,10,15,12,7,1,0,86.9%
1994,16,46,5,1,4,15,12,5,3,1,0,89.1%
1993,17,36,4,1,2,13,8,5,2,1,0,88.9%
1992,18,67,2,0,12,18,18,10,6,1,0,97.0%
1991,19,46,2,1,4,9,17,7,5,1,0,95.7%
1990,20,46,7,1,5,12,15,3,3,0,0,84.8%
1989,21,46,3,1,1,15,16,5,1,3,1,93.5%
1988,22,52,3,3,5,4,12,13,9,2,1,94.2%
1987,23,47,1,0,4,7,15,9,7,2,2,97.9%
1986,24,60,3,0,3,7,20,15,5,5,2,95.0%
1985,25,63,3,0,2,12,16,19,10,1,0,95.2%
1984,26,65,1,1,4,12,18,17,8,2,2,98.5%
1983,27,71,1,0,3,9,24,15,14,2,3,98.6%
1982,28,59,4,3,2,5,21,9,10,3,2,93.2%
1981,29,73,0,1,6,14,22,17,5,5,3,100.0%
1980,30,61,1,1,3,11,21,11,8,4,1,98.4%
1979,31,70,3,1,4,12,17,16,10,6,1,95.7%
1978,32,46,3,1,1,4,12,13,9,3,0,93.5%
1977,33,59,5,0,1,8,15,15,11,4,0,91.5%
1976,34,80,4,1,7,15,24,18,10,1,0,95.0%
1975,35,63,4,0,4,10,19,14,9,3,0,93.7%
1974,36,59,1,2,2,9,22,13,6,3,1,98.3%
1973,37,60,2,2,3,15,12,17,6,3,0,96.7%
1972,38,55,0,1,4,8,12,16,8,4,2,100.0%
1971,39,50,2,0,4,10,11,13,6,3,1,96.0%
1970,40,41,2,1,2,8,10,9,5,1,3,95.1%
1969,41,40,0,2,3,8,9,9,6,3,0,100.0%
1968,42,44,1,0,5,7,9,11,8,0,3,97.7%
1967,43,36,0,3,1,4,6,12,6,2,2,100.0%
1966,44,37,0,1,2,5,7,8,9,3,2,100.0%
1965,45,41,2,1,5,5,6,5,10,6,1,95.1%
1964,46,32,3,1,3,4,8,2,6,3,2,90.6%
1963,47,37,1,1,4,6,7,6,1,5,6,97.3%
1962,48,24,2,1,2,2,6,6,3,1,1,91.7%
1961,49,33,3,1,2,7,3,7,3,2,5,90.9%
1960,50,27,1,0,0,4,5,9,6,0,2,96.3%
1959,51,20,0,3,1,4,4,3,5,0,0,100.0%
1958,52,15,0,1,5,2,3,1,2,1,0,100.0%
1957,53,27,2,0,0,6,6,4,7,0,2,92.6%
1956,54,21,4,0,1,2,1,0,10,3,0,81.0%
1955,55,20,0,0,2,1,1,7,6,2,1,100.0%
1954,56,20,2,0,2,3,2,5,4,0,2,90.0%
1953,57,22,1,1,0,5,6,4,2,2,1,95.5%
1952,58,25,0,3,1,3,5,5,2,2,4,100.0%
1951,59,28,1,0,2,8,9,7,1,0,0,96.4%
1950,60,19,1,1,2,3,3,2,4,1,2,94.7%
1949,61,23,0,0,0,4,6,7,4,1,1,100.0%
1948,62,21,0,1,0,4,5,3,3,1,4,100.0%
1947,63,17,3,0,1,2,3,4,3,1,0,82.4%
1946,64,8,0,0,0,1,4,1,1,0,1,100.0%
1945,65,1,0,0,0,1,0,0,0,0,0,100.0%
1944,66,1,1,0,0,0,0,0,0,0,0,0.0%
1943,67,8,0,1,0,0,2,2,2,0,1,100.0%
1942,68,0,0,0,0,0,0,0,0,0,0,#DIV/0!
1941,69,4,0,1,1,1,1,0,0,0,0,100.0%
1940,70-,9,0,2,0,1,1,3,0,2,0,100.0%
