birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2011,0-5M,9,2,2,2,1,0,1,0,0,1,77.8%
2011,6-11M,36,30,0,2,1,2,1,0,0,0,16.7%
2010,1,65,18,3,4,9,9,13,5,3,1,72.3%
2009,2,53,3,3,3,7,13,8,8,5,3,94.3%
2008,3,57,2,0,4,9,21,14,5,2,0,96.5%
2007,4,39,2,2,5,11,11,3,2,3,0,94.9%
2006,5,38,3,1,6,13,2,7,5,1,0,92.1%
2005,6,33,0,0,1,7,4,8,6,5,2,100.0%
2004,7,31,0,0,3,5,10,8,4,0,1,100.0%
2003,8,26,0,1,3,7,3,9,3,0,0,100.0%
2002,9,41,1,0,7,13,12,7,1,0,0,97.6%
2001,10,50,3,2,5,11,8,13,4,4,0,94.0%
2000,11,27,3,0,2,7,8,5,1,0,1,88.9%
1999,12,35,3,2,0,8,14,6,2,0,0,91.4%
1998,13,43,1,1,3,10,11,8,6,2,1,97.7%
1997,14,74,3,1,3,14,27,16,9,1,0,95.9%
1996,15,57,3,0,3,11,15,13,6,3,3,94.7%
1995,16,36,4,4,9,2,6,8,1,2,0,88.9%
1994,17,31,3,2,8,10,4,2,2,0,0,90.3%
1993,18,96,1,2,1,23,38,20,6,5,0,99.0%
1992,19,54,0,0,3,14,18,13,4,1,1,100.0%
1991,20,51,0,2,3,15,16,7,4,2,2,100.0%
1990,21,48,0,1,5,18,9,7,6,2,0,100.0%
1989,22,69,5,3,7,18,13,9,12,2,0,92.8%
1988,23,62,7,3,10,14,16,6,4,1,1,88.7%
1987,24,70,2,1,8,10,17,17,6,4,5,97.1%
1986,25,74,3,1,4,7,17,17,14,8,3,95.9%
1985,26,70,0,1,3,17,15,10,18,5,1,100.0%
1984,27,82,4,3,5,22,11,17,15,3,2,95.1%
1983,28,61,5,0,5,9,13,12,7,7,3,91.8%
1982,29,47,2,1,3,9,6,15,10,1,0,95.7%
1981,30,72,2,1,3,10,21,19,9,3,4,97.2%
1980,31,61,0,2,3,9,25,9,9,2,2,100.0%
1979,32,61,1,3,7,9,13,14,11,2,1,98.4%
1978,33,70,6,3,6,7,14,16,10,7,1,91.4%
1977,34,54,1,2,4,9,15,8,13,1,1,98.1%
1976,35,64,2,1,6,12,14,10,12,4,3,96.9%
1975,36,67,5,2,4,10,19,13,10,2,2,92.5%
1974,37,73,3,2,2,18,10,15,16,6,1,95.9%
1973,38,64,3,0,6,11,14,11,16,1,2,95.3%
1972,39,67,0,3,6,12,17,18,6,4,1,100.0%
1971,40,48,0,0,9,9,11,11,6,1,1,100.0%
1970,41,37,0,1,1,7,10,8,6,3,1,100.0%
1969,42,38,1,1,8,9,9,5,4,1,0,97.4%
1968,43,42,2,1,2,4,8,9,10,5,1,95.2%
1967,44,36,3,0,3,1,5,13,10,1,0,91.7%
1966,45,15,0,0,1,2,5,2,4,1,0,100.0%
1965,46,37,1,4,5,0,7,5,10,1,4,97.3%
1964,47,33,1,1,4,7,8,3,4,4,1,97.0%
1963,48,33,2,2,0,5,6,4,6,6,2,93.9%
1962,49,23,1,0,2,5,2,3,4,5,1,95.7%
1961,50,21,3,1,1,1,5,5,2,2,1,85.7%
1960,51,19,0,1,1,0,7,2,2,3,3,100.0%
1959,52,16,1,0,0,6,3,2,3,0,1,93.8%
1958,53,20,3,1,1,3,4,4,2,1,1,85.0%
1957,54,18,0,2,0,5,4,5,1,1,0,100.0%
1956,55,11,0,2,0,2,1,1,3,1,1,100.0%
1955,56,15,0,0,3,3,1,3,2,2,1,100.0%
1954,57,12,0,0,1,2,3,4,1,1,0,100.0%
1953,58,16,2,3,1,2,3,1,2,2,0,87.5%
1952,59,9,1,0,1,1,2,1,2,0,1,88.9%
1951,60,10,1,1,1,2,2,1,1,1,0,90.0%
1950,61,11,1,0,1,2,1,3,2,1,0,90.9%
1949,62,17,0,1,1,5,4,3,2,1,0,100.0%
1948,63,10,0,0,0,2,6,0,2,0,0,100.0%
1947,64,4,0,0,1,2,1,0,0,0,0,100.0%
1946,65,7,1,0,1,1,2,1,1,0,0,85.7%
1945,66,5,0,0,0,1,0,2,2,0,0,100.0%
1944,67,4,1,0,1,0,1,0,1,0,0,75.0%
1943,68,3,0,1,1,0,0,0,0,1,0,100.0%
1942,69,3,0,0,1,0,1,1,0,0,0,100.0%
1941,70-,33,5,1,1,4,9,4,8,1,0,84.8%
