birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2013,0-5M,10,4,2,2,0,1,1,0,0,0,60.0%
2013,6-11M,34,29,4,1,0,0,0,0,0,0,14.7%
2012,1,82,17,6,5,12,15,14,7,5,1,79.3%
2011,2,60,3,6,6,11,12,5,11,5,1,95.0%
2010,3,57,4,3,2,10,15,12,6,4,1,93.0%
2009,4,44,0,3,5,13,15,4,3,0,1,100.0%
2008,5,43,1,3,3,17,8,6,3,2,0,97.7%
2007,6,46,1,0,3,19,12,9,1,1,0,97.8%
2006,7,34,1,1,4,15,5,7,1,0,0,97.1%
2005,8,29,0,0,4,11,8,5,1,0,0,100.0%
2004,9,40,1,0,4,17,13,4,1,0,0,97.5%
2003,10,39,1,0,6,14,12,3,3,0,0,97.4%
2002,11,25,0,0,4,13,4,3,1,0,0,100.0%
2001,12,68,2,3,4,14,24,18,2,0,1,97.1%
2000,13,83,4,1,9,24,21,15,7,2,0,95.2%
1999,14,30,1,2,5,10,6,5,1,0,0,96.7%
1998,15,44,2,1,3,15,16,5,2,0,0,95.5%
1997,16,52,1,2,7,20,14,6,1,1,0,98.1%
1996,17,52,2,0,8,12,18,10,2,0,0,96.2%
1995,18,114,2,1,15,29,40,14,11,2,0,98.2%
1994,19,57,2,2,3,12,20,12,5,1,0,96.5%
1993,20,66,0,1,9,21,14,10,9,1,1,100.0%
1992,21,35,2,2,7,4,6,8,4,2,0,94.3%
1991,22,58,4,1,10,11,12,14,4,2,0,93.1%
1990,23,50,3,4,5,10,15,7,4,0,2,94.0%
1989,24,68,3,2,7,22,13,14,2,3,2,95.6%
1988,25,61,4,1,9,11,12,14,9,1,0,93.4%
1987,26,66,1,3,6,20,15,9,8,4,0,98.5%
1986,27,85,4,2,5,17,20,19,14,3,1,95.3%
1985,28,68,3,3,2,15,18,15,10,0,2,95.6%
1984,29,53,3,1,3,9,15,12,5,4,1,94.3%
1983,30,60,1,0,2,13,11,16,11,3,3,98.3%
1982,31,59,1,1,3,8,14,22,4,6,0,98.3%
1981,32,56,4,1,3,12,6,16,9,2,3,92.9%
1980,33,58,1,0,1,12,14,16,8,3,3,98.3%
1979,34,57,3,0,7,9,12,15,6,3,2,94.7%
1978,35,43,1,1,2,7,17,10,3,2,0,97.7%
1977,36,61,1,3,5,9,24,11,4,3,1,98.4%
1976,37,60,3,0,7,9,14,11,8,7,1,95.0%
1975,38,63,1,0,4,16,16,9,7,7,3,98.4%
1974,39,62,4,0,6,13,14,12,7,3,3,93.5%
1973,40,45,3,2,4,12,4,9,8,1,2,93.3%
1972,41,48,1,2,2,10,12,7,8,6,0,97.9%
1971,42,43,1,0,0,7,11,12,5,6,1,97.7%
1970,43,31,1,1,4,8,11,3,3,0,0,96.8%
1969,44,37,1,1,1,5,12,9,5,1,2,97.3%
1968,45,40,0,1,1,5,7,11,4,7,4,100.0%
1967,46,34,1,0,2,1,13,9,7,0,1,97.1%
1966,47,29,3,0,1,4,7,10,1,2,1,89.7%
1965,48,41,2,2,4,4,8,7,6,5,3,95.1%
1964,49,18,0,0,1,4,1,4,4,1,3,100.0%
1963,50,34,1,1,2,2,8,8,6,1,5,97.1%
1962,51,28,2,1,3,3,4,1,8,2,4,92.9%
1961,52,32,2,1,3,4,6,3,9,3,1,93.8%
1960,53,31,2,2,2,6,5,6,5,1,2,93.5%
1959,54,29,5,0,3,5,5,3,7,1,0,82.8%
1958,55,22,1,0,0,7,3,4,5,1,1,95.5%
1957,56,19,1,2,1,3,4,4,1,1,2,94.7%
1956,57,17,1,0,0,2,5,4,3,2,0,94.1%
1955,58,23,1,2,1,6,2,2,7,2,0,95.7%
1954,59,14,0,1,0,0,5,5,2,1,0,100.0%
1953,60,20,1,0,1,0,6,6,1,5,0,95.0%
1952,61,15,0,1,1,4,3,3,1,0,2,100.0%
1951,62,8,1,0,0,1,0,2,4,0,0,87.5%
1950,63,8,1,1,0,1,1,2,0,0,2,87.5%
1949,64,13,1,0,2,0,4,2,1,2,1,92.3%
1948,65,6,1,0,1,0,3,1,0,0,0,83.3%
1947,66,5,0,0,1,0,1,0,1,1,1,100.0%
1946,67,2,0,0,0,1,0,1,0,0,0,100.0%
1945,68,4,0,0,1,1,0,2,0,0,0,100.0%
1944,69,3,0,0,0,0,2,0,0,1,0,100.0%
1943,70-,7,0,0,1,0,4,1,1,0,0,100.0%
