birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2015	0-5M	18	6	5	1	4	1	1	0	0	0	66.7
2015	6-11M	34	28	2	2	1	0	0	0	0	1	17.6
2014	1	94	21	6	11	6	14	17	6	5	8	77.7
2013	2	54	3	1	3	7	13	13	9	4	1	94.4
2012	3	61	1	4	10	7	18	11	7	1	2	98.4
2011	4	35	1	4	5	9	10	2	4	0	0	97.1
2010	5	44	1	4	1	9	16	6	7	0	0	97.7
2009	6	41	2	0	4	10	8	15	2	0	0	95.1
2008	7	29	0	2	3	10	3	10	1	0	0	100
2007	8	30	2	1	2	8	6	7	3	1	0	93.3
2006	9	49	1	4	7	14	12	9	2	0	0	98
2005	10	42	1	0	6	11	15	5	4	0	0	97.6
2004	11	44	0	2	7	20	8	6	1	0	0	100
2003	12	44	1	1	9	17	15	1	0	0	0	97.7
2002	13	68	4	2	10	22	19	6	4	1	0	94.1
2001	14	37	1	2	8	13	7	2	3	1	0	97.3
2000	15	43	1	4	3	9	16	6	4	0	0	97.7
1999	16	21	2	0	0	6	5	7	0	0	1	90.5
1998	17	30	1	2	3	8	8	3	5	0	0	96.7
1997	18	70	0	7	19	22	11	7	3	1	0	100
1996	19	62	4	2	6	18	11	9	10	2	0	93.5
1995	20	41	3	1	8	5	7	8	3	4	2	92.7
1994	21	34	2	2	4	10	9	7	0	0	0	94.1
1993	22	55	1	1	7	16	19	8	2	1	0	98.2
1992	23	68	0	6	9	10	19	17	6	1	0	100
1991	24	65	1	4	5	20	17	10	6	2	0	98.5
1990	25	57	4	1	8	17	12	8	5	2	0	93
1989	26	67	3	5	10	16	15	10	4	4	0	95.5
1988	27	57	6	4	3	16	14	8	6	0	0	89.5
1987	28	54	2	3	4	11	14	12	6	1	1	96.3
1986	29	49	1	2	3	10	11	11	5	3	3	98
1985	30	52	1	1	2	9	9	17	6	5	2	98.1
1984	31	52	3	2	3	7	10	14	10	2	1	94.2
1983	32	59	1	3	2	9	8	21	10	5	0	98.3
1982	33	50	0	1	2	8	12	11	11	5	0	100
1981	34	53	2	2	1	5	9	11	16	4	3	96.2
1980	35	48	2	1	2	9	11	11	10	2	0	95.8
1979	36	54	0	1	6	9	16	11	8	2	1	100
1978	37	49	1	2	3	13	18	4	4	3	1	98
1977	38	46	0	1	4	4	13	7	12	3	2	100
1976	39	54	0	2	5	13	7	17	5	3	2	100
1975	40	36	0	1	4	7	9	6	6	3	0	100
1974	41	38	2	0	3	3	9	10	8	3	0	94.7
1973	42	47	1	2	4	7	12	9	6	3	3	97.9
1972	43	49	3	0	5	8	9	6	10	3	5	93.9
1971	44	32	1	1	0	2	6	8	4	6	4	96.9
1970	45	29	1	0	1	3	8	11	4	1	0	96.6
1969	46	32	2	0	3	4	10	6	5	2	0	93.8
1968	47	34	0	0	1	3	7	5	8	8	2	100
1967	48	27	0	0	1	3	8	5	7	3	0	100
1966	49	23	3	0	1	0	7	6	3	2	1	87
1965	50	37	0	0	1	5	6	10	10	1	4	100
1964	51	31	2	0	3	6	3	9	5	2	1	93.5
1963	52	39	2	1	2	7	6	7	6	5	3	94.9
1962	53	26	2	0	2	4	3	2	5	6	2	92.3
1961	54	20	1	0	1	2	8	4	3	0	1	95
1960	55	31	5	0	1	0	7	9	3	4	2	83.9
1959	56	16	2	1	2	2	2	2	1	3	1	87.5
1958	57	25	3	1	0	3	3	8	2	3	2	88
1957	58	16	6	0	0	1	2	3	2	2	0	62.5
1956	59	10	1	0	0	6	1	1	0	1	0	90
1955	60	21	0	0	1	4	6	1	6	3	0	100
1954	61	5	0	0	0	1	0	3	0	0	1	100
1953	62	19	0	1	0	3	3	1	6	3	2	100
1952	63	13	1	0	0	4	3	3	2	0	0	92.3
1951	64	10	1	0	2	1	1	2	3	0	0	90
1950	65	8	1	0	0	0	5	2	0	0	0	87.5
1949	66	13	1	1	0	2	1	5	2	1	0	92.3
1948	67	7	1	2	1	0	0	1	1	1	0	85.7
1947	68	7	0	0	0	2	1	2	0	1	1	100
1946	69	6	0	0	0	0	2	3	0	1	0	100
1945	70-	19	1	1	0	3	4	4	0	2	4	94.7
