birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2006	0-5M	13	3	3	3	3	1	0	0	0	0	76.9%
2006	6-11M	31	28	1	2	0	0	0	0	0	0	9.7%
2005	1	85	27	3	6	11	9	14	7	7	1	68.2%
2004	2	61	9	1	2	3	7	21	14	3	1	85.2%
2003	3	58	5	0	1	8	10	12	19	1	2	91.4%
2002	4	56	6	0	4	9	11	12	12	1	1	89.3%
2001	5	48	5	1	3	4	14	17	2	2	0	89.6%
2000	6	63	3	0	9	20	18	10	2	1	0	95.2%
1999	7	46	3	1	6	10	19	5	2	0	0	93.5%
1998	8	41	2	0	6	16	12	4	1	0	0	95.1%
1997	9	32	5	2	4	11	6	3	1	0	0	84.4%
1996	10	48	7	1	7	14	15	3	1	0	0	85.4%
1995	11	38	6	2	10	12	5	2	1	0	0	84.2%
1994	12	53	7	3	15	10	6	10	1	1	0	86.8%
1993	13	45	5	1	2	20	13	3	1	0	0	88.9%
1992	14	79	9	0	10	26	17	14	2	1	0	88.6%
1991	15	48	8	4	2	12	13	6	3	0	0	83.3%
1990	16	36	7	3	6	7	8	4	1	0	0	80.6%
1989	17	42	5	3	3	8	12	9	1	1	0	88.1%
1988	18	63	3	4	10	12	14	14	4	2	0	95.2%
1987	19	40	4	1	2	6	13	9	4	1	0	90.0%
1986	20	72	4	0	4	14	22	18	7	2	1	94.4%
1985	21	76	4	1	6	17	19	19	6	4	0	94.7%
1984	22	68	4	1	2	20	15	17	9	0	0	94.1%
1983	23	76	1	1	2	8	22	26	12	3	1	98.7%
1982	24	86	3	1	1	10	24	25	15	5	2	96.5%
1981	25	66	4	0	2	9	19	13	9	8	2	93.9%
1980	26	93	5	0	4	13	26	28	13	4	0	94.6%
1979	27	59	3	0	1	6	21	17	6	5	0	94.9%
1978	28	65	1	0	3	9	19	21	11	1	0	98.5%
1977	29	53	2	0	3	8	22	11	6	1	0	96.2%
1976	30	82	6	1	12	14	27	15	6	1	0	92.7%
1975	31	61	1	1	3	10	21	12	9	3	1	98.4%
1974	32	68	0	3	3	14	22	12	11	2	1	100.0%
1973	33	68	7	4	9	13	15	12	5	3	0	89.7%
1972	34	59	0	3	5	15	9	15	7	3	2	100.0%
1971	35	65	1	2	5	13	17	15	8	4	0	98.5%
1970	36	61	2	1	4	9	15	15	12	3	0	96.7%
1969	37	71	2	0	6	16	17	20	8	1	1	97.2%
1968	38	64	2	3	5	10	13	18	10	0	3	96.9%
1967	39	46	1	0	4	7	11	14	4	3	2	97.8%
1966	40	30	0	1	1	2	9	6	9	2	0	100.0%
1965	41	31	1	0	2	5	10	6	4	3	0	96.8%
1964	42	34	1	0	2	5	6	8	8	2	2	97.1%
1963	43	36	2	1	4	5	8	6	8	2	0	94.4%
1962	44	35	3	2	2	7	8	5	5	2	1	91.4%
1961	45	16	0	0	2	5	2	1	4	2	0	100.0%
1960	46	26	4	0	2	1	8	6	4	1	0	84.6%
1959	47	30	1	0	3	4	7	10	3	1	1	96.7%
1958	48	13	0	0	4	1	1	2	4	0	1	100.0%
1957	49	23	4	0	1	7	6	3	2	0	0	82.6%
1956	50	19	2	0	1	2	10	1	1	2	0	89.5%
1955	51	17	0	2	4	4	0	3	3	0	1	100.0%
1954	52	17	0	0	2	5	4	3	1	1	1	100.0%
1953	53	16	0	0	0	4	5	1	5	1	0	100.0%
1952	54	24	1	1	3	9	3	5	2	0	0	95.8%
1951	55	19	2	3	1	5	0	4	4	0	0	89.5%
1950	56	25	2	0	5	2	6	4	3	3	0	92.0%
1949	57	21	1	1	3	0	4	4	5	1	2	95.2%
1948	58	14	2	0	3	4	2	1	1	0	1	85.7%
1947	59	13	0	1	3	2	2	1	2	2	0	100.0%
1946	60	4	0	0	0	0	0	3	1	0	0	100.0%
1945	61	5	1	1	0	0	2	1	0	0	0	80.0%
1944	62	7	0	0	2	0	0	4	1	0	0	100.0%
1943	63	6	1	1	0	1	1	1	1	0	0	83.3%
1942	64	2	0	0	2	0	0	0	0	0	0	100.0%
1941	65	6	0	1	0	1	2	2	0	0	0	100.0%
1940	66	4	0	0	0	1	0	1	2	0	0	100.0%
1939	67	3	0	0	0	1	0	2	0	0	0	100.0%
1938	68	8	1	2	0	3	1	1	0	0	0	87.5%
1937	69	6	1	2	2	0	1	0	0	0	0	83.3%
1936	70-	33	2	3	6	7	4	5	4	2	0	93.9%
