birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2017,0-5M,8,2,1,3,0,1,1,0,0,0,75
2017,6-11M,25,23,0,2,0,0,0,0,0,0,8
2016,1,100,26,9,8,10,11,8,21,6,1,74
2015,2,69,10,4,5,9,15,13,12,0,1,85.5
2014,3,52,6,2,5,8,14,11,5,1,0,88.5
2013,4,29,0,0,5,6,10,4,2,2,0,100
2012,5,49,3,4,7,12,11,9,3,0,0,93.9
2011,6,47,2,0,2,8,16,14,3,2,0,95.7
2010,7,40,4,1,2,7,18,5,3,0,0,90
2009,8,24,0,0,7,5,8,4,0,0,0,100
2008,9,36,1,0,7,7,10,9,1,1,0,97.2
2007,10,48,1,1,10,18,13,4,1,0,0,97.9
2006,11,37,1,5,6,11,9,3,1,0,1,97.3
2005,12,53,2,6,11,18,11,4,1,0,0,96.2
2004,13,58,3,2,11,17,19,5,1,0,0,94.8
2003,14,23,0,1,4,10,8,0,0,0,0,100
2002,15,59,8,4,9,18,14,4,2,0,0,86.4
2001,16,43,1,5,7,15,10,3,1,1,0,97.7
2000,17,14,0,1,0,8,3,2,0,0,0,100
1999,18,69,0,2,9,21,29,6,2,0,0,100
1998,19,74,0,3,5,19,19,16,9,2,1,100
1997,20,50,1,0,8,24,10,6,0,1,0,98
1996,21,37,1,1,6,11,11,5,2,0,0,97.3
1995,22,44,0,0,8,16,12,7,1,0,0,100
1994,23,72,2,1,12,24,16,12,5,0,0,97.2
1993,24,53,2,1,8,15,15,9,3,0,0,96.2
1992,25,65,2,3,14,20,13,8,4,1,0,96.9
1991,26,64,0,3,5,21,23,7,3,1,1,100
1990,27,47,3,1,8,9,15,6,5,0,0,93.6
1989,28,65,2,4,6,17,20,10,4,2,0,96.9
1988,29,41,4,4,8,6,8,5,4,1,1,90.2
1987,30,50,5,2,5,9,13,13,3,0,0,90
1986,31,55,1,3,8,6,13,10,9,4,1,98.2
1985,32,40,3,0,1,14,9,6,4,3,0,92.5
1984,33,53,1,1,4,10,9,15,12,0,1,98.1
1983,34,46,4,0,1,7,12,10,11,1,0,91.3
1982,35,46,1,0,2,9,15,9,6,1,3,97.8
1981,36,51,0,5,5,11,9,12,9,0,0,100
1980,37,55,2,0,2,11,17,11,10,2,0,96.4
1979,38,51,0,3,4,10,10,12,9,2,1,100
1978,39,39,1,0,3,6,7,8,7,5,2,97.4
1977,40,39,0,1,4,3,15,10,3,0,3,100
1976,41,39,1,1,5,3,9,8,8,4,0,97.4
1975,42,36,0,0,5,8,8,6,5,2,2,100
1974,43,38,1,2,3,10,6,6,9,0,1,97.4
1973,44,36,1,0,6,5,8,10,4,2,0,97.2
1972,45,25,0,0,3,4,7,7,2,2,0,100
1971,46,36,1,1,5,9,8,5,0,5,2,97.2
1970,47,37,1,0,4,6,7,8,7,3,1,97.3
1969,48,42,3,1,5,7,9,8,4,5,0,92.9
1968,49,31,0,0,8,5,4,4,5,4,1,100
1967,50,44,0,1,4,10,8,8,9,4,0,100
1966,51,27,4,0,3,2,9,5,1,1,2,85.2
1965,52,36,1,0,1,6,11,7,2,6,2,97.2
1964,53,36,0,0,3,7,9,7,8,1,1,100
1963,54,34,0,2,3,1,8,10,6,2,2,100
1962,55,27,2,1,0,2,7,8,3,3,1,92.6
1961,56,31,2,1,3,6,4,7,4,2,2,93.5
1960,57,31,3,1,0,4,10,3,7,2,1,90.3
1959,58,18,2,1,1,5,1,5,3,0,0,88.9
1958,59,22,2,0,2,3,4,4,6,1,0,90.9
1957,60,19,1,0,0,1,6,4,2,2,3,94.7
1956,61,18,1,0,1,1,3,6,4,2,0,94.4
1955,62,23,2,1,1,6,3,5,4,0,1,91.3
1954,63,4,0,0,1,2,0,1,0,0,0,100
1953,64,6,0,1,0,0,2,0,2,1,0,100
1952,65,11,1,1,2,1,4,2,0,0,0,90.9
1951,66,9,0,1,0,1,4,1,2,0,0,100
1950,67,2,0,0,0,1,1,0,0,0,0,100
1949,68,7,0,1,2,0,2,0,1,1,0,100
1948,69,6,0,0,3,1,0,1,1,0,0,100
-1947,-70,19,2,0,1,4,4,3,5,0,0,89.5
