birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2012,0-5M,19,3,3,5,4,2,1,1,0,0,84.2%
2012,6-11M,80,68,6,2,1,0,1,1,1,0,15.0%
2011,1,167,57,3,8,12,16,30,27,11,3,65.9%
2010,2,135,9,5,5,17,31,34,18,11,5,93.3%
2009,3,112,4,2,8,25,34,18,17,4,0,96.4%
2008,4,90,12,2,5,24,13,17,14,3,0,86.7%
2007,5,74,3,5,6,12,17,21,5,3,2,95.9%
2006,6,78,2,2,4,10,22,26,10,1,1,97.4%
2005,7,68,0,2,4,15,19,18,9,1,0,100.0%
2004,8,66,5,5,8,16,14,12,6,0,0,92.4%
2003,9,79,6,3,7,17,29,13,4,0,0,92.4%
2002,10,103,5,8,9,20,33,23,5,0,0,95.1%
2001,11,71,5,4,7,21,19,12,3,0,0,93.0%
2000,12,83,6,2,5,17,24,17,8,4,0,92.8%
1999,13,96,2,4,8,21,24,20,16,1,0,97.9%
1998,14,85,2,1,8,15,27,17,11,2,2,97.6%
1997,15,75,7,0,6,13,22,20,5,2,0,90.7%
1996,16,62,0,1,6,18,21,9,5,1,1,100.0%
1995,17,57,6,0,8,9,18,11,2,2,1,89.5%
1994,18,112,3,1,11,26,30,25,11,5,0,97.3%
1993,19,67,2,2,6,12,24,10,7,3,1,97.0%
1992,20,51,2,0,5,8,16,12,5,2,1,96.1%
1991,21,62,3,1,2,15,23,13,5,0,0,95.2%
1990,22,85,9,3,9,24,19,12,6,2,1,89.4%
1989,23,137,9,6,16,27,38,25,10,2,4,93.4%
1988,24,124,14,1,13,37,28,21,8,2,0,88.7%
1987,25,107,4,1,12,27,29,23,7,4,0,96.3%
1986,26,101,8,1,5,15,28,25,15,4,0,92.1%
1985,27,102,8,0,5,15,27,31,12,3,1,92.2%
1984,28,123,7,1,8,18,27,30,22,8,2,94.3%
1983,29,101,6,1,3,12,25,33,16,3,2,94.1%
1982,30,108,7,1,5,15,25,36,13,4,2,93.5%
1981,31,103,7,1,7,15,21,22,15,13,2,93.2%
1980,32,133,12,1,4,21,29,35,19,10,2,91.0%
1979,33,121,11,1,4,14,29,32,22,5,3,90.9%
1978,34,104,7,0,2,17,23,33,15,5,2,93.3%
1977,35,93,11,1,4,15,29,23,6,4,0,88.2%
1976,36,113,15,0,3,12,24,29,18,9,3,86.7%
1975,37,115,17,3,4,14,28,23,17,7,2,85.2%
1974,38,124,12,2,10,20,29,28,15,6,2,90.3%
1973,39,111,12,3,5,23,23,27,12,4,2,89.2%
1972,40,84,4,2,3,12,19,26,12,4,2,95.2%
1971,41,79,7,0,1,13,17,19,16,5,1,91.1%
1970,42,74,4,0,1,12,18,26,10,2,1,94.6%
1969,43,75,5,2,1,9,17,22,9,6,4,93.3%
1968,44,94,5,1,3,13,12,25,15,14,6,94.7%
1967,45,61,1,1,1,8,11,16,11,11,1,98.4%
1966,46,46,6,1,1,4,14,7,6,5,2,87.0%
1965,47,54,10,0,2,4,14,11,5,7,1,81.5%
1964,48,54,7,0,1,11,5,15,10,4,1,87.0%
1963,49,42,2,0,1,3,6,15,8,3,4,95.2%
1962,50,56,10,1,2,4,10,12,12,2,3,82.1%
1961,51,46,10,2,2,3,7,8,9,1,4,78.3%
1960,52,48,5,1,2,3,6,10,11,8,2,89.6%
1959,53,25,3,3,1,3,4,5,3,0,3,88.0%
1958,54,53,6,1,2,4,13,13,9,4,1,88.7%
1957,55,31,3,0,1,4,2,11,5,5,0,90.3%
1956,56,35,4,1,3,5,3,7,8,3,1,88.6%
1955,57,33,2,1,3,3,8,8,4,3,1,93.9%
1954,58,33,6,1,2,5,5,5,7,2,0,81.8%
1953,59,14,2,0,2,4,3,0,2,1,0,85.7%
1952,60,23,1,0,3,3,7,4,3,2,0,95.7%
1951,61,21,3,0,1,0,2,8,6,1,0,85.7%
1950,62,17,0,0,0,2,5,3,4,3,0,100.0%
1949,63,28,1,0,1,6,5,4,7,2,2,96.4%
1948,64,12,1,0,0,1,4,2,0,2,2,91.7%
1947,65,11,1,0,1,2,1,4,2,0,0,90.9%
1946,66,12,1,0,1,2,1,3,2,0,2,91.7%
1945,67,7,0,0,0,1,3,1,2,0,0,100.0%
1944,68,10,1,0,1,2,3,3,0,0,0,90.0%
1943,69,4,0,0,0,1,0,1,2,0,0,100.0%
1942,70-,15,2,0,1,3,2,1,3,2,1,86.7%
