birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2011,0-5M,20,7,2,2,3,2,2,1,0,1,65.0%
2011,6-11M,67,54,1,3,2,4,3,0,0,0,19.4%
2010,1,168,48,7,7,19,36,25,16,5,5,71.4%
2009,2,109,5,5,8,13,26,24,17,6,5,95.4%
2008,3,120,4,4,12,24,35,27,11,3,0,96.7%
2007,4,90,4,6,13,22,25,11,4,5,0,95.6%
2006,5,77,4,6,14,18,11,13,9,2,0,94.8%
2005,6,91,0,2,5,16,16,27,12,10,3,100.0%
2004,7,61,1,0,5,12,20,15,6,0,2,98.4%
2003,8,62,2,3,8,13,19,13,3,1,0,96.8%
2002,9,79,3,1,13,23,26,10,3,0,0,96.2%
2001,10,111,3,3,12,27,17,33,10,6,0,97.3%
2000,11,70,10,0,10,20,16,10,2,1,1,85.7%
1999,12,73,4,4,7,22,23,10,3,0,0,94.5%
1998,13,90,4,1,4,21,23,18,15,2,2,95.6%
1997,14,153,5,4,7,35,45,36,16,5,0,96.7%
1996,15,111,5,1,8,18,27,26,16,7,3,95.5%
1995,16,66,8,8,14,7,11,11,5,2,0,87.9%
1994,17,72,6,5,17,21,14,6,3,0,0,91.7%
1993,18,171,5,4,2,28,64,49,7,11,1,97.1%
1992,19,79,1,1,4,15,25,22,8,1,2,98.7%
1991,20,72,0,5,4,19,21,9,10,2,2,100.0%
1990,21,77,3,3,10,20,15,12,11,3,0,96.1%
1989,22,91,6,4,10,26,14,12,14,4,1,93.4%
1988,23,116,9,8,20,26,30,11,8,2,2,92.2%
1987,24,102,4,1,10,14,26,25,11,5,6,96.1%
1986,25,137,6,2,5,19,41,25,26,9,4,95.6%
1985,26,114,4,1,7,24,25,19,23,9,2,96.5%
1984,27,125,9,3,8,31,20,23,20,8,3,92.8%
1983,28,108,12,2,9,14,23,18,16,11,3,88.9%
1982,29,83,5,1,3,19,16,20,13,5,1,94.0%
1981,30,108,5,2,5,14,28,27,20,3,4,95.4%
1980,31,115,5,4,5,14,37,23,14,8,5,95.7%
1979,32,118,12,4,10,16,27,27,18,3,1,89.8%
1978,33,127,20,3,12,14,20,29,16,11,2,84.3%
1977,34,106,13,3,8,13,26,18,18,3,4,87.7%
1976,35,105,6,1,10,23,22,18,14,4,7,94.3%
1975,36,113,16,4,7,17,29,19,15,2,4,85.8%
1974,37,121,14,2,7,24,17,21,22,10,4,88.4%
1973,38,131,20,1,8,20,27,16,26,5,8,84.7%
1972,39,103,6,4,7,16,23,25,11,6,5,94.2%
1971,40,73,8,0,10,10,13,17,12,1,2,89.0%
1970,41,61,2,2,2,8,14,18,9,5,1,96.7%
1969,42,63,1,1,9,11,14,12,11,3,1,98.4%
1968,43,62,4,2,2,6,10,14,16,6,2,93.5%
1967,44,64,9,1,4,4,11,19,11,3,2,85.9%
1966,45,38,5,0,4,4,7,6,4,4,4,86.8%
1965,46,67,9,4,7,2,13,10,14,3,5,86.6%
1964,47,59,4,1,8,9,10,11,7,7,2,93.2%
1963,48,52,6,2,1,7,9,6,9,9,3,88.5%
1962,49,47,4,0,4,6,6,9,10,6,2,91.5%
1961,50,41,6,1,3,3,10,7,4,4,3,85.4%
1960,51,42,5,1,1,0,13,6,6,5,5,88.1%
1959,52,35,6,0,0,8,5,3,9,0,4,82.9%
1958,53,47,5,1,1,5,9,12,6,5,3,89.4%
1957,54,33,4,2,1,7,7,7,4,1,0,87.9%
1956,55,24,3,2,1,3,4,6,3,1,1,87.5%
1955,56,36,0,0,3,7,7,9,5,4,1,100.0%
1954,57,26,1,3,3,4,6,6,1,1,1,96.2%
1953,58,29,3,3,2,4,5,2,6,2,2,89.7%
1952,59,26,1,1,1,3,6,5,7,1,1,96.2%
1951,60,21,1,2,1,4,4,3,3,2,1,95.2%
1950,61,26,1,0,1,2,6,6,5,5,0,96.2%
1949,62,35,0,2,1,7,5,6,6,5,3,100.0%
1948,63,28,4,0,0,4,9,1,4,3,3,85.7%
1947,64,11,0,0,1,3,4,0,1,1,1,100.0%
1946,65,8,1,0,1,1,2,1,2,0,0,87.5%
1945,66,9,0,0,0,2,0,4,3,0,0,100.0%
1944,67,12,1,0,2,0,4,2,1,0,2,91.7%
1943,68,9,1,1,1,0,0,2,2,1,1,88.9%
1942,69,11,0,0,1,2,2,3,2,0,1,100.0%
1941,70-,62,6,2,2,6,18,12,12,2,2,90.3%
