birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2015,0-5M,44,18,11,4,7,2,2,0,0,0,59.1
2015,6-11M,87,74,6,3,2,1,0,0,0,1,14.9
2014,1,201,55,13,17,16,29,34,18,11,8,72.6
2013,2,121,6,5,3,22,34,24,17,8,2,95
2012,3,124,6,7,22,17,29,25,12,4,2,95.2
2011,4,78,3,6,12,24,20,8,5,0,0,96.2
2010,5,92,4,10,8,21,23,13,11,1,1,95.7
2009,6,84,4,1,7,26,18,22,5,1,0,95.2
2008,7,74,1,3,9,26,19,13,3,0,0,98.6
2007,8,60,2,3,7,20,11,13,3,1,0,96.7
2006,9,95,3,6,19,28,21,15,3,0,0,96.8
2005,10,84,1,3,15,24,27,10,4,0,0,98.8
2004,11,90,1,7,14,33,21,10,3,1,0,98.9
2003,12,92,3,6,18,30,29,6,0,0,0,96.7
2002,13,121,10,6,17,41,28,10,7,1,1,91.7
2001,14,74,4,9,14,26,10,4,5,2,0,94.6
2000,15,86,3,11,12,23,25,7,5,0,0,96.5
1999,16,47,3,0,3,13,11,11,3,1,2,93.6
1998,17,52,2,3,6,10,15,6,9,1,0,96.2
1997,18,125,4,13,28,34,28,13,4,1,0,96.8
1996,19,101,5,4,16,28,21,14,11,2,0,95
1995,20,78,7,1,14,17,15,14,4,4,2,91
1994,21,72,5,3,9,25,18,12,0,0,0,93.1
1993,22,94,2,2,15,31,28,9,4,2,1,97.9
1992,23,126,1,8,17,28,31,24,12,4,1,99.2
1991,24,112,1,6,12,34,29,17,10,2,1,99.1
1990,25,107,10,4,18,28,21,13,8,5,0,90.7
1989,26,131,9,13,17,30,26,24,6,5,1,93.1
1988,27,102,14,9,9,25,20,14,9,1,1,86.3
1987,28,110,10,3,10,21,25,25,13,2,1,90.9
1986,29,96,3,3,7,20,19,20,14,6,4,96.9
1985,30,98,3,1,4,18,19,22,15,12,4,96.9
1984,31,119,6,2,7,16,20,32,26,5,5,95
1983,32,115,4,4,6,18,22,31,21,8,1,96.5
1982,33,92,0,4,4,14,23,22,18,7,0,100
1981,34,102,7,4,5,12,21,18,23,9,3,93.1
1980,35,86,9,1,6,17,13,19,17,3,1,89.5
1979,36,95,10,1,6,11,23,21,15,7,1,89.5
1978,37,86,11,2,7,16,27,12,6,3,2,87.2
1977,38,100,12,4,8,6,19,23,19,6,3,88
1976,39,107,10,4,8,16,19,27,12,8,3,90.7
1975,40,57,5,2,6,9,13,10,8,3,1,91.2
1974,41,64,10,0,4,5,16,12,12,3,2,84.4
1973,42,76,10,2,6,7,19,13,9,5,5,86.8
1972,43,77,11,0,7,15,13,9,14,3,5,85.7
1971,44,70,7,3,2,7,11,17,7,9,7,90
1970,45,48,4,0,1,6,10,18,7,2,0,91.7
1969,46,59,7,0,3,8,14,9,11,6,1,88.1
1968,47,65,5,0,1,6,13,11,15,10,4,92.3
1967,48,56,6,0,2,6,16,9,12,3,2,89.3
1966,49,45,10,0,3,1,11,9,6,3,2,77.8
1965,50,66,8,0,2,8,7,17,12,5,7,87.9
1964,51,65,12,0,3,8,9,17,8,7,1,81.5
1963,52,72,6,1,4,12,10,15,13,7,4,91.7
1962,53,55,8,0,3,7,9,5,10,11,2,85.5
1961,54,46,4,0,2,2,13,11,10,2,2,91.3
1960,55,53,11,0,1,2,13,11,7,6,2,79.2
1959,56,41,5,2,3,5,4,7,5,8,2,87.8
1958,57,51,9,1,2,6,7,10,8,5,3,82.4
1957,58,36,8,0,0,3,7,8,8,2,0,77.8
1956,59,27,3,1,1,7,4,5,3,3,0,88.9
1955,60,46,1,0,1,9,7,7,11,9,1,97.8
1954,61,24,1,1,2,3,3,6,6,1,1,95.8
1953,62,38,2,1,1,8,5,5,7,6,3,94.7
1952,63,30,1,0,4,6,7,7,4,0,1,96.7
1951,64,23,1,1,4,2,2,6,4,1,2,95.7
1950,65,14,2,0,0,2,7,2,1,0,0,85.7
1949,66,22,1,1,1,2,3,8,4,1,1,95.5
1948,67,14,1,2,4,0,2,2,2,1,0,92.9
1947,68,17,1,1,1,3,3,3,2,1,2,94.1
1946,69,11,0,0,0,3,2,4,1,1,0,100
1945,70-,33,2,1,1,5,9,5,2,3,5,93.9
