birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2014	0-5M	34	9	7	7	7	0	2	1	1	0	73.5
2014	6-11M	83	77	1	3	0	0	1	1	0	0	7.2
2013	1	235	81	9	14	20	26	38	27	13	7	65.5
2012	2	136	8	8	15	13	31	29	25	6	1	94.1
2011	3	125	12	7	15	21	24	25	17	3	1	90.4
2010	4	107	7	2	19	25	18	26	9	1	0	93.5
2009	5	111	4	4	15	21	33	16	14	3	1	96.4
2008	6	108	4	5	6	14	36	28	12	3	0	96.3
2007	7	82	1	3	13	21	22	17	4	0	1	98.8
2006	8	71	5	3	11	19	16	9	8	0	0	93
2005	9	87	3	4	12	24	21	14	6	3	0	96.6
2004	10	85	8	4	9	21	29	11	3	0	0	90.6
2003	11	87	3	12	10	24	26	11	0	1	0	96.6
2002	12	104	4	8	12	30	35	10	5	0	0	96.2
2001	13	123	5	6	15	46	32	18	1	0	0	95.9
2000	14	74	3	6	9	20	19	12	4	0	1	95.9
1999	15	88	1	4	8	25	29	14	7	0	0	98.9
1998	16	112	6	4	15	31	34	15	4	1	2	94.6
1997	17	82	1	1	17	26	21	10	5	1	0	98.8
1996	18	114	4	7	15	33	35	16	4	0	0	96.5
1995	19	103	4	4	10	22	31	19	10	3	0	96.1
1994	20	106	4	4	12	31	30	15	10	0	0	96.2
1993	21	76	7	4	10	20	22	7	3	2	1	90.8
1992	22	90	6	1	10	24	17	20	6	5	1	93.3
1991	23	129	8	3	20	37	32	14	11	4	0	93.8
1990	24	134	7	10	18	32	23	25	17	1	1	94.8
1989	25	136	9	7	19	35	22	25	16	1	2	93.4
1988	26	111	9	3	6	30	26	20	11	5	1	91.9
1987	27	115	7	9	9	25	26	21	12	5	1	93.9
1986	28	128	10	5	11	25	25	23	22	4	3	92.2
1985	29	116	4	1	6	15	32	28	25	4	1	96.6
1984	30	128	7	1	5	21	25	36	20	8	5	94.5
1983	31	117	9	0	4	9	30	35	22	6	2	92.3
1982	32	122	9	3	11	12	29	30	20	7	1	92.6
1981	33	95	11	0	4	11	20	28	10	6	5	88.4
1980	34	101	7	1	2	12	22	31	14	9	3	93.1
1979	35	87	5	1	1	17	22	16	15	9	1	94.3
1978	36	112	17	3	6	15	21	24	14	7	5	84.8
1977	37	91	8	2	5	11	26	16	16	4	3	91.2
1976	38	132	12	7	6	23	33	22	16	11	2	90.9
1975	39	114	12	5	10	15	23	20	17	8	4	89.5
1974	40	72	7	4	4	12	16	17	5	6	1	90.3
1973	41	74	9	1	8	9	13	15	12	6	1	87.8
1972	42	71	6	1	4	9	15	18	12	3	3	91.5
1971	43	63	9	0	1	9	15	12	10	6	1	85.7
1970	44	56	8	0	1	7	14	12	8	6	0	85.7
1969	45	61	8	2	1	7	10	20	8	4	1	86.9
1968	46	67	9	2	3	7	13	7	13	10	3	86.6
1967	47	56	9	1	6	4	8	11	10	4	3	83.9
1966	48	41	4	0	4	5	4	9	11	3	1	90.2
1965	49	68	9	2	4	5	12	13	9	8	6	86.8
1964	50	54	9	1	2	7	8	10	12	3	2	83.3
1963	51	67	13	0	2	3	10	20	15	1	3	80.6
1962	52	55	7	2	3	4	10	12	10	5	2	87.3
1961	53	55	5	0	2	12	8	14	7	4	3	90.9
1960	54	58	9	0	4	5	9	15	5	7	4	84.5
1959	55	40	6	0	4	5	6	7	8	3	1	85
1958	56	46	6	0	2	5	8	10	7	5	3	87
1957	57	36	4	0	1	6	6	9	6	4	0	88.9
1956	58	34	4	1	2	2	6	5	9	1	4	88.2
1955	59	29	1	4	5	2	2	6	3	2	4	96.6
1954	60	35	1	1	3	6	10	5	5	0	4	97.1
1953	61	36	3	0	3	4	5	14	3	3	1	91.7
1952	62	26	5	2	2	4	3	2	6	2	0	80.8
1951	63	25	4	1	1	3	3	4	7	0	2	84
1950	64	25	1	2	1	5	4	7	1	3	1	96
1949	65	20	0	2	2	1	8	3	2	2	0	100
1948	66	15	0	0	2	2	3	3	3	1	1	100
1947	67	13	1	0	1	3	1	3	2	1	1	92.3
1946	68	2	0	0	0	0	0	1	0	1	0	100
1945	69	4	1	0	0	1	0	1	1	0	0	75
1944	70-	45	4	2	5	3	7	7	7	4	6	91.1
