birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2013	0-5M	26	7	4	4	4	5	2	0	0	0	73.1%
2013	6-11M	73	63	7	2	0	1	0	0	0	0	13.7%
2012	1	184	41	12	13	26	30	34	18	8	2	77.7%
2011	2	120	5	10	14	19	27	18	21	5	1	95.8%
2010	3	122	7	5	3	26	36	26	13	5	1	94.3%
2009	4	102	1	6	14	30	29	14	6	1	1	99.0%
2008	5	92	1	7	10	29	18	15	8	3	1	98.9%
2007	6	91	1	2	8	30	30	14	2	4	0	98.9%
2006	7	80	3	3	10	29	15	14	3	2	1	96.3%
2005	8	62	1	2	9	24	17	7	2	0	0	98.4%
2004	9	76	2	0	6	24	31	11	1	1	0	97.4%
2003	10	78	1	4	14	25	26	4	4	0	0	98.7%
2002	11	66	2	0	15	26	13	9	1	0	0	97.0%
2001	12	121	5	3	12	38	31	26	3	1	2	95.9%
2000	13	145	7	2	17	48	38	22	8	3	0	95.2%
1999	14	68	1	5	11	25	15	10	1	0	0	98.5%
1998	15	89	6	1	7	33	26	12	2	2	0	93.3%
1997	16	90	2	2	12	30	24	15	3	2	0	97.8%
1996	17	83	2	3	10	22	27	15	4	0	0	97.6%
1995	18	156	4	2	25	39	53	17	14	2	0	97.4%
1994	19	99	3	3	7	25	31	17	10	3	0	97.0%
1993	20	108	3	2	16	29	30	13	12	2	1	97.2%
1992	21	63	5	2	11	8	16	12	7	2	0	92.1%
1991	22	91	5	4	17	18	22	17	5	2	1	94.5%
1990	23	100	7	9	15	16	25	15	10	1	2	93.0%
1989	24	122	7	6	13	36	25	23	6	3	3	94.3%
1988	25	123	7	3	20	29	21	24	16	3	0	94.3%
1987	26	126	2	5	14	34	34	19	12	6	0	98.4%
1986	27	140	9	4	8	33	33	22	23	7	1	93.6%
1985	28	116	6	3	5	27	28	21	22	1	3	94.8%
1984	29	99	5	1	6	16	28	22	12	8	1	94.9%
1983	30	98	1	0	2	19	22	26	17	7	4	99.0%
1982	31	107	2	2	6	19	28	26	13	11	0	98.1%
1981	32	112	7	2	8	21	19	26	19	5	5	93.8%
1980	33	112	11	0	3	17	26	30	12	8	5	90.2%
1979	34	107	10	1	10	16	23	27	12	4	4	90.7%
1978	35	89	15	1	3	12	25	18	11	4	0	83.1%
1977	36	118	13	6	10	22	32	17	9	6	3	89.0%
1976	37	110	14	4	9	18	26	17	12	9	1	87.3%
1975	38	124	15	2	9	22	25	22	12	9	8	87.9%
1974	39	107	12	0	8	21	25	19	13	6	3	88.8%
1973	40	73	10	7	4	14	7	13	12	3	3	86.3%
1972	41	84	5	5	4	17	18	14	12	9	0	94.0%
1971	42	80	6	2	2	12	20	17	13	7	1	92.5%
1970	43	69	5	2	5	11	18	17	7	4	0	92.8%
1969	44	64	4	4	2	7	16	14	8	4	5	93.8%
1968	45	71	5	3	2	7	11	19	8	10	6	93.0%
1967	46	47	3	0	2	2	15	10	12	2	1	93.6%
1966	47	65	12	1	1	10	14	14	6	5	2	81.5%
1965	48	68	5	5	4	8	13	9	11	9	4	92.6%
1964	49	51	8	2	2	6	6	8	10	3	6	84.3%
1963	50	53	5	3	2	5	10	11	9	2	6	90.6%
1962	51	48	5	2	3	4	8	5	14	2	5	89.6%
1961	52	70	5	2	3	9	12	12	19	6	2	92.9%
1960	53	59	7	4	3	8	10	10	7	3	7	88.1%
1959	54	49	8	2	4	7	8	9	8	3	0	83.7%
1958	55	50	6	3	2	13	8	7	6	3	2	88.0%
1957	56	43	3	2	2	7	7	12	6	2	2	93.0%
1956	57	29	2	2	1	2	5	7	7	2	1	93.1%
1955	58	43	4	2	1	7	7	8	10	3	1	90.7%
1954	59	29	0	2	1	1	7	8	6	3	1	100.0%
1953	60	38	3	0	3	4	11	8	3	5	1	92.1%
1952	61	27	0	1	2	12	5	3	2	0	2	100.0%
1951	62	20	2	0	0	3	2	3	7	2	1	90.0%
1950	63	20	2	1	2	1	6	4	2	0	2	90.0%
1949	64	25	1	2	3	4	5	4	2	3	1	96.0%
1948	65	11	1	0	1	1	5	2	1	0	0	90.9%
1947	66	9	0	0	1	2	2	1	1	1	1	100.0%
1946	67	8	0	0	0	4	0	4	0	0	0	100.0%
1945	68	7	0	0	1	3	0	3	0	0	0	100.0%
1944	69	8	0	0	0	1	4	0	0	3	0	100.0%
1943	70-	11	0	0	1	1	5	2	2	0	0	100.0%
