birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2009,0-5M,15,8,3,1,1,1,0,0,0,1,46.7%
2009,6-11M,56,51,0,0,2,2,0,0,1,0,8.9%
2008,1,129,34,3,3,7,25,20,21,7,9,73.6%
2007,2,102,7,3,8,10,18,19,18,9,10,93.1%
2006,3,102,7,1,10,18,18,25,7,9,7,93.1%
2005,4,95,4,4,8,19,16,16,17,9,2,95.8%
2004,5,71,4,3,3,17,19,10,10,4,1,94.4%
2003,6,81,4,3,3,9,19,14,6,7,16,95.1%
2002,7,99,2,2,8,16,25,28,8,5,5,98.0%
2001,8,76,1,1,8,25,24,13,3,1,0,98.7%
2000,9,122,12,16,21,24,35,10,4,0,0,90.2%
1999,10,150,14,9,14,36,36,29,8,3,1,90.7%
1998,11,95,10,7,17,20,10,22,7,1,1,89.5%
1997,12,78,7,9,10,24,10,11,4,2,1,91.0%
1996,13,112,6,1,13,24,35,21,9,3,0,94.6%
1995,14,84,4,6,10,21,20,14,7,0,2,95.2%
1994,15,96,15,0,9,27,27,11,4,2,1,84.4%
1993,16,71,11,5,8,22,12,9,2,2,0,84.5%
1992,17,61,12,9,10,12,8,5,4,1,0,80.3%
1991,18,94,4,3,8,23,39,10,6,1,0,95.7%
1990,19,68,4,0,4,22,18,12,7,1,0,94.1%
1989,20,64,9,3,10,12,13,10,6,1,0,85.9%
1988,21,69,7,5,9,13,16,13,2,4,0,89.9%
1987,22,87,3,3,13,11,21,15,11,6,4,96.6%
1986,23,95,7,0,10,10,28,19,10,6,5,92.6%
1985,24,88,4,5,2,17,24,24,10,2,0,95.5%
1984,25,70,2,0,1,18,21,21,2,4,1,97.1%
1983,26,99,5,1,6,15,25,21,16,8,2,94.9%
1982,27,96,9,2,8,13,27,23,10,2,2,90.6%
1981,28,95,7,0,10,16,26,18,12,5,1,92.6%
1980,29,68,5,0,4,12,18,16,9,4,0,92.6%
1979,30,77,10,1,1,10,24,14,12,4,1,87.0%
1978,31,95,12,4,3,13,25,18,14,6,0,87.4%
1977,32,97,4,2,7,19,23,20,14,7,1,95.9%
1976,33,126,12,4,9,18,30,29,11,12,1,90.5%
1975,34,101,7,5,8,13,24,27,14,2,1,93.1%
1974,35,69,8,0,6,13,12,15,11,4,0,88.4%
1973,36,94,12,4,5,16,18,17,16,6,0,87.2%
1972,37,91,11,3,5,19,16,23,10,3,1,87.9%
1971,38,90,17,4,3,14,24,17,8,3,0,81.1%
1970,39,77,12,0,6,6,22,21,6,4,0,84.4%
1969,40,49,5,1,3,10,13,8,7,2,0,89.8%
1968,41,56,3,3,3,6,13,13,10,4,1,94.6%
1967,42,47,5,0,4,7,11,10,5,4,1,89.4%
1966,43,44,5,0,6,5,4,10,10,3,1,88.6%
1965,44,38,7,1,5,2,12,2,3,6,0,81.6%
1964,45,50,5,2,2,8,9,12,10,1,1,90.0%
1963,46,48,4,3,4,7,6,10,8,3,3,91.7%
1962,47,53,12,1,1,6,7,11,4,8,3,77.4%
1961,48,42,8,0,3,8,7,7,5,2,2,81.0%
1960,49,43,8,0,2,8,10,9,2,4,0,81.4%
1959,50,33,3,0,0,7,9,2,10,2,0,90.9%
1958,51,36,7,1,2,4,9,5,5,3,0,80.6%
1957,52,41,9,1,5,7,8,7,4,0,0,78.0%
1956,53,32,4,1,2,5,8,2,5,5,0,87.5%
1955,54,31,4,0,1,5,6,7,5,2,1,87.1%
1954,55,42,4,1,4,6,5,11,6,5,0,90.5%
1953,56,21,1,0,4,4,3,4,3,2,0,95.2%
1952,57,35,4,0,5,5,11,5,4,1,0,88.6%
1951,58,31,5,0,0,7,6,5,4,3,1,83.9%
1950,59,28,1,1,4,3,9,2,4,3,1,96.4%
1949,60,33,3,0,7,3,6,4,7,2,1,90.9%
1948,61,19,1,1,2,4,3,2,2,4,0,94.7%
1947,62,19,1,2,1,4,3,3,3,1,1,94.7%
1946,63,8,1,1,0,2,0,2,1,1,0,87.5%
1945,64,8,0,1,0,3,0,0,3,1,0,100.0%
1944,65,12,0,1,1,5,2,2,0,1,0,100.0%
1943,66,9,1,0,1,1,2,0,1,3,0,88.9%
1942,67,13,1,0,2,1,6,1,1,0,1,92.3%
1941,68,5,0,0,0,1,1,1,0,2,0,100.0%
1940,69,5,0,1,0,1,0,1,1,1,0,100.0%
1939,70-,21,2,1,3,9,4,2,0,0,0,90.5%
