birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2006,0-5M,24,10,6,3,4,1,0,0,0,0,58.3%
2006,6-11M,66,62,1,2,0,0,0,0,1,0,6.1%
2005,1,169,55,6,11,13,20,38,16,8,2,67.5%
2004,2,127,18,1,2,10,17,41,30,5,3,85.8%
2003,3,142,14,0,3,20,30,38,27,7,3,90.1%
2002,4,109,12,1,8,15,30,23,17,2,1,89.0%
2001,5,98,10,1,11,14,26,21,12,2,1,89.8%
2000,6,149,11,2,20,46,37,24,7,2,0,92.6%
1999,7,84,6,1,14,17,26,16,3,1,0,92.9%
1998,8,78,5,1,11,27,24,9,1,0,0,93.6%
1997,9,75,11,3,14,22,16,7,2,0,0,85.3%
1996,10,101,16,5,11,30,31,6,2,0,0,84.2%
1995,11,94,19,7,18,23,18,5,3,1,0,79.8%
1994,12,99,13,4,20,26,18,15,2,1,0,86.9%
1993,13,111,21,4,13,37,25,7,4,0,0,81.1%
1992,14,141,15,2,17,49,31,23,3,1,0,89.4%
1991,15,115,20,6,9,27,26,15,9,2,1,82.6%
1990,16,69,10,3,11,15,16,11,1,2,0,85.5%
1989,17,72,9,5,6,12,21,15,3,1,0,87.5%
1988,18,103,6,5,15,25,22,19,9,2,0,94.2%
1987,19,65,6,1,4,8,19,17,8,1,1,90.8%
1986,20,113,6,0,5,19,35,29,12,6,1,94.7%
1985,21,113,4,1,6,20,33,28,14,7,0,96.5%
1984,22,95,7,1,4,25,21,25,11,1,0,92.6%
1983,23,114,2,2,6,12,31,38,16,5,2,98.2%
1982,24,129,4,1,1,20,35,38,22,6,2,96.9%
1981,25,106,6,0,2,14,26,28,17,10,3,94.3%
1980,26,145,13,1,5,18,36,40,23,8,1,91.0%
1979,27,116,18,0,3,13,31,30,12,7,2,84.5%
1978,28,133,15,1,4,15,34,34,22,6,2,88.7%
1977,29,100,8,0,4,15,34,26,10,3,0,92.0%
1976,30,131,16,1,17,19,37,27,10,4,0,87.8%
1975,31,126,17,2,6,17,37,25,18,3,1,86.5%
1974,32,139,23,3,5,20,35,30,18,4,1,83.5%
1973,33,129,25,5,11,19,25,24,13,7,0,80.6%
1972,34,115,16,3,6,19,24,23,12,9,3,86.1%
1971,35,120,14,2,6,20,31,24,15,8,0,88.3%
1970,36,121,16,1,5,18,33,21,21,5,1,86.8%
1969,37,133,18,0,8,22,31,29,20,2,3,86.5%
1968,38,118,13,3,5,15,25,31,16,7,3,89.0%
1967,39,92,14,0,6,12,24,20,9,5,2,84.8%
1966,40,54,6,1,1,4,13,12,12,4,1,88.9%
1965,41,62,10,0,4,8,14,11,7,7,1,83.9%
1964,42,71,3,1,5,9,14,18,13,5,3,95.8%
1963,43,68,12,1,4,7,14,12,14,3,1,82.4%
1962,44,57,9,2,3,14,13,7,6,2,1,84.2%
1961,45,38,6,0,4,7,5,6,7,3,0,84.2%
1960,46,58,10,0,3,5,14,14,6,5,1,82.8%
1959,47,56,9,0,4,7,15,14,4,1,2,83.9%
1958,48,42,9,0,6,3,10,5,7,0,2,78.6%
1957,49,43,6,0,5,8,11,7,5,1,0,86.0%
1956,50,45,6,1,2,9,17,5,3,2,0,86.7%
1955,51,33,0,4,5,11,0,6,5,1,1,100.0%
1954,52,39,6,1,2,8,10,4,3,1,4,84.6%
1953,53,33,1,1,4,5,7,2,9,3,1,97.0%
1952,54,44,5,2,4,11,9,6,4,2,1,88.6%
1951,55,38,3,3,6,9,6,6,5,0,0,92.1%
1950,56,49,6,2,5,8,13,8,4,3,0,87.8%
1949,57,39,1,1,5,9,7,6,7,1,2,97.4%
1948,58,38,2,1,4,10,7,11,1,0,2,94.7%
1947,59,32,1,1,6,7,5,6,4,2,0,96.9%
1946,60,11,0,0,1,2,3,3,1,1,0,100.0%
1945,61,12,1,1,1,4,3,2,0,0,0,91.7%
1944,62,13,1,0,4,0,3,4,1,0,0,92.3%
1943,63,12,3,2,0,3,1,2,1,0,0,75.0%
1942,64,14,0,1,2,5,3,0,2,0,1,100.0%
1941,65,14,0,1,1,2,2,3,3,1,1,100.0%
1940,66,9,0,0,2,1,1,1,3,1,0,100.0%
1939,67,9,0,0,1,2,2,3,1,0,0,100.0%
1938,68,12,1,2,2,5,1,1,0,0,0,91.7%
1937,69,9,1,3,2,0,1,1,0,0,1,88.9%
1936,70-,72,2,4,12,16,13,7,8,8,2,97.2%
