birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2008	0-5M	19	10	3	1	2	2	0	0	1	0	47.4%
2008	6-11M	60	46	7	5	0	0	0	1	0	1	23.3%
2007	1	160	57	4	7	13	23	19	24	10	3	64.4%
2006	2	107	6	4	2	8	21	26	26	10	4	94.4%
2005	3	124	6	4	5	22	29	28	19	6	5	95.2%
2004	4	84	2	2	2	13	18	23	13	9	2	97.6%
2003	5	73	2	3	3	18	22	14	9	1	1	97.3%
2002	6	110	3	2	9	14	37	32	8	5	0	97.3%
2001	7	68	1	4	4	22	17	14	6	0	0	98.5%
2000	8	81	3	2	7	18	27	19	4	1	0	96.3%
1999	9	64	3	3	9	20	13	11	5	0	0	95.3%
1998	10	102	5	8	10	26	30	14	6	3	0	95.1%
1997	11	68	6	4	8	16	22	10	2	0	0	91.2%
1996	12	104	5	2	16	32	28	12	7	2	0	95.2%
1995	13	121	15	4	15	35	26	18	7	1	0	87.6%
1994	14	82	8	0	12	18	19	15	10	0	0	90.2%
1993	15	108	12	10	16	18	32	16	4	0	0	88.9%
1992	16	61	8	4	8	9	11	9	6	5	1	86.9%
1991	17	49	6	2	6	14	15	4	0	2	0	87.8%
1990	18	115	9	5	17	30	27	16	3	6	2	92.2%
1989	19	112	13	9	13	26	24	17	9	1	0	88.4%
1988	20	86	11	3	8	20	19	14	4	5	2	87.2%
1987	21	78	4	1	7	17	24	17	6	2	0	94.9%
1986	22	65	4	0	6	9	22	12	9	2	1	93.8%
1985	23	85	7	0	8	11	21	19	10	9	0	91.8%
1984	24	78	3	0	5	12	23	17	12	6	0	96.2%
1983	25	96	5	1	3	15	20	31	12	7	2	94.8%
1982	26	112	3	3	7	16	30	22	21	9	1	97.3%
1981	27	101	10	1	8	16	26	20	13	5	2	90.1%
1980	28	102	9	1	10	19	25	17	15	6	0	91.2%
1979	29	95	8	4	3	14	28	21	10	6	1	91.6%
1978	30	90	14	1	7	15	22	19	8	3	1	84.4%
1977	31	87	10	2	6	8	22	21	14	4	0	88.5%
1976	32	123	10	5	7	23	27	32	14	3	2	91.9%
1975	33	123	16	4	7	12	37	21	20	3	3	87.0%
1974	34	112	22	1	10	7	26	19	17	8	2	80.4%
1973	35	93	10	2	2	12	25	19	19	2	2	89.2%
1972	36	99	14	1	11	14	20	18	13	6	2	85.9%
1971	37	78	8	2	2	14	23	20	7	2	0	89.7%
1970	38	100	11	0	4	13	27	27	10	6	2	89.0%
1969	39	90	9	2	7	15	23	16	13	4	1	90.0%
1968	40	60	2	1	5	13	9	12	9	6	3	96.7%
1967	41	58	6	4	3	8	18	11	6	1	1	89.7%
1966	42	57	7	2	0	5	14	13	10	2	4	87.7%
1965	43	57	8	1	4	10	8	14	10	1	1	86.0%
1964	44	48	6	0	7	4	7	11	6	6	1	87.5%
1963	45	42	4	1	3	6	15	5	7	1	0	90.5%
1962	46	52	6	1	3	7	11	10	9	0	5	88.5%
1961	47	57	2	1	4	10	11	10	12	5	2	96.5%
1960	48	59	10	1	1	7	18	8	8	6	0	83.1%
1959	49	42	5	1	6	5	6	8	7	2	2	88.1%
1958	50	42	3	1	2	4	10	13	3	4	2	92.9%
1957	51	39	1	0	6	8	7	10	5	2	0	97.4%
1956	52	27	2	0	4	4	4	6	5	2	0	92.6%
1955	53	42	5	1	6	3	7	11	3	5	1	88.1%
1954	54	40	1	1	2	8	7	9	4	7	1	97.5%
1953	55	38	5	4	6	7	2	6	5	3	0	86.8%
1952	56	37	2	2	2	6	6	11	5	2	1	94.6%
1951	57	41	0	1	5	4	19	3	4	4	1	100.0%
1950	58	33	1	2	5	3	10	3	4	5	0	97.0%
1949	59	37	3	3	4	6	7	6	4	4	0	91.9%
1948	60	24	1	1	0	9	7	4	1	0	1	95.8%
1947	61	15	0	0	2	4	5	0	3	1	0	100.0%
1946	62	7	0	0	0	1	5	1	0	0	0	100.0%
1945	63	12	0	2	0	0	4	4	2	0	0	100.0%
1944	64	6	1	0	1	1	1	1	1	0	0	83.3%
1943	65	9	0	1	1	1	2	3	0	1	0	100.0%
1942	66	10	0	0	1	2	3	1	2	0	1	100.0%
1941	67	8	0	0	1	1	1	2	1	1	1	100.0%
1940	68	3	0	0	1	1	0	0	1	0	0	100.0%
1939	69	3	0	0	0	1	0	1	1	0	0	100.0%
1938	70-	16	1	0	0	2	3	2	3	4	1	93.8%
