birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2006,0-5M,11,7,3,0,1,0,0,0,0,0,36.4%
2006,6-11M,35,34,0,0,0,0,0,0,1,0,2.9%
2005,1,84,28,3,5,2,11,24,9,1,1,66.7%
2004,2,66,9,0,0,7,10,20,16,2,2,86.4%
2003,3,84,9,0,2,12,20,26,8,6,1,89.3%
2002,4,53,6,1,4,6,19,11,5,1,0,88.7%
2001,5,50,5,0,8,10,12,4,10,0,1,90.0%
2000,6,86,8,2,11,26,19,14,5,1,0,90.7%
1999,7,38,3,0,8,7,7,11,1,1,0,92.1%
1998,8,37,3,1,5,11,12,5,0,0,0,91.9%
1997,9,43,6,1,10,11,10,4,1,0,0,86.0%
1996,10,53,9,4,4,16,16,3,1,0,0,83.0%
1995,11,56,13,5,8,11,13,3,2,1,0,76.8%
1994,12,46,6,1,5,16,12,5,1,0,0,87.0%
1993,13,66,16,3,11,17,12,4,3,0,0,75.8%
1992,14,62,6,2,7,23,14,9,1,0,0,90.3%
1991,15,67,12,2,7,15,13,9,6,2,1,82.1%
1990,16,33,3,0,5,8,8,7,0,2,0,90.9%
1989,17,30,4,2,3,4,9,6,2,0,0,86.7%
1988,18,40,3,1,5,13,8,5,5,0,0,92.5%
1987,19,25,2,0,2,2,6,8,4,0,1,92.0%
1986,20,41,2,0,1,5,13,11,5,4,0,95.1%
1985,21,37,0,0,0,3,14,9,8,3,0,100.0%
1984,22,27,3,0,2,5,6,8,2,1,0,88.9%
1983,23,38,1,1,4,4,9,12,4,2,1,97.4%
1982,24,43,1,0,0,10,11,13,7,1,0,97.7%
1981,25,40,2,0,0,5,7,15,8,2,1,95.0%
1980,26,52,8,1,1,5,10,12,10,4,1,84.6%
1979,27,57,15,0,2,7,10,13,6,2,2,73.7%
1978,28,68,14,1,1,6,15,13,11,5,2,79.4%
1977,29,47,6,0,1,7,12,15,4,2,0,87.2%
1976,30,49,10,0,5,5,10,12,4,3,0,79.6%
1975,31,65,16,1,3,7,16,13,9,0,0,75.4%
1974,32,71,23,0,2,6,13,18,7,2,0,67.6%
1973,33,61,18,1,2,6,10,12,8,4,0,70.5%
1972,34,56,16,0,1,4,15,8,5,6,1,71.4%
1971,35,55,13,0,1,7,14,9,7,4,0,76.4%
1970,36,60,14,0,1,9,18,6,9,2,1,76.7%
1969,37,62,16,0,2,6,14,9,12,1,2,74.2%
1968,38,54,11,0,0,5,12,13,6,7,0,79.6%
1967,39,46,13,0,2,5,13,6,5,2,0,71.7%
1966,40,24,6,0,0,2,4,6,3,2,1,75.0%
1965,41,31,9,0,2,3,4,5,3,4,1,71.0%
1964,42,37,2,1,3,4,8,10,5,3,1,94.6%
1963,43,32,10,0,0,2,6,6,6,1,1,68.8%
1962,44,22,6,0,1,7,5,2,1,0,0,72.7%
1961,45,22,6,0,2,2,3,5,3,1,0,72.7%
1960,46,32,6,0,1,4,6,8,2,4,1,81.3%
1959,47,26,8,0,1,3,8,4,1,0,1,69.2%
1958,48,29,9,0,2,2,9,3,3,0,1,69.0%
1957,49,20,2,0,4,1,5,4,3,1,0,90.0%
1956,50,26,4,1,1,7,7,4,2,0,0,84.6%
1955,51,16,0,2,1,7,0,3,2,1,0,100.0%
1954,52,22,6,1,0,3,6,1,2,0,3,72.7%
1953,53,17,1,1,4,1,2,1,4,2,1,94.1%
1952,54,20,4,1,1,2,6,1,2,2,1,80.0%
1951,55,19,1,0,5,4,6,2,1,0,0,94.7%
1950,56,24,4,2,0,6,7,4,1,0,0,83.3%
1949,57,18,0,0,2,9,3,2,2,0,0,100.0%
1948,58,24,0,1,1,6,5,10,0,0,1,100.0%
1947,59,19,1,0,3,5,3,5,2,0,0,94.7%
1946,60,7,0,0,1,2,3,0,0,1,0,100.0%
1945,61,7,0,0,1,4,1,1,0,0,0,100.0%
1944,62,6,1,0,2,0,3,0,0,0,0,83.3%
1943,63,6,2,1,0,2,0,1,0,0,0,66.7%
1942,64,12,0,1,0,5,3,0,2,0,1,100.0%
1941,65,8,0,0,1,1,0,1,3,1,1,100.0%
1940,66,5,0,0,2,0,1,0,1,1,0,100.0%
1939,67,6,0,0,1,1,2,1,1,0,0,100.0%
1938,68,4,0,0,2,2,0,0,0,0,0,100.0%
1937,69,3,0,1,0,0,0,1,0,0,1,100.0%
1936,70-,39,0,1,6,9,9,2,4,6,2,100.0%
