birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2014	0-5M	17	4	3	4	3	0	2	1	0	0	76.5
2014	6-11M	45	41	1	2	0	0	0	1	0	0	8.9
2013	1	137	45	4	10	14	13	21	17	9	4	67.2
2012	2	70	6	3	6	7	20	17	9	2	0	91.4
2011	3	70	10	4	10	13	8	13	10	2	0	85.7
2010	4	59	2	1	11	11	12	17	5	0	0	96.6
2009	5	59	3	0	10	13	16	9	7	1	0	94.9
2008	6	50	3	2	4	5	16	11	6	3	0	94
2007	7	45	1	3	9	8	14	7	3	0	0	97.8
2006	8	35	2	1	7	13	6	3	3	0	0	94.3
2005	9	45	2	2	7	12	13	5	3	1	0	95.6
2004	10	41	5	3	5	12	7	8	1	0	0	87.8
2003	11	50	3	8	6	14	9	9	0	1	0	94
2002	12	49	3	4	8	12	17	3	2	0	0	93.9
2001	13	62	3	3	12	22	13	9	0	0	0	95.2
2000	14	30	0	1	5	8	8	6	1	0	1	100
1999	15	47	0	4	7	11	16	7	2	0	0	100
1998	16	62	4	0	10	22	18	6	0	0	2	93.5
1997	17	46	0	0	12	16	8	6	3	1	0	100
1996	18	51	3	5	7	10	16	6	4	0	0	94.1
1995	19	53	3	1	5	10	16	9	6	3	0	94.3
1994	20	55	1	4	8	18	15	4	5	0	0	98.2
1993	21	36	2	2	5	12	10	2	1	2	0	94.4
1992	22	37	4	0	5	8	8	5	4	2	1	89.2
1991	23	63	6	1	7	19	17	6	5	2	0	90.5
1990	24	70	5	6	10	21	10	11	5	1	1	92.9
1989	25	69	6	7	11	17	7	8	12	0	1	91.3
1988	26	59	7	2	3	13	14	14	4	1	1	88.1
1987	27	55	5	5	6	14	11	7	6	1	0	90.9
1986	28	62	9	1	5	9	14	13	8	1	2	85.5
1985	29	50	0	0	4	7	10	13	14	2	0	100
1984	30	62	2	0	1	14	15	18	8	2	2	96.8
1983	31	50	5	0	3	2	11	13	13	2	1	90
1982	32	65	5	3	5	9	15	14	9	5	0	92.3
1981	33	48	10	0	2	1	13	14	3	5	0	79.2
1980	34	47	7	0	0	9	8	13	7	1	2	85.1
1979	35	43	4	1	0	10	8	6	11	3	0	90.7
1978	36	58	16	1	1	6	7	12	6	7	2	72.4
1977	37	44	6	1	3	2	13	8	8	2	1	86.4
1976	38	54	10	2	4	6	12	8	12	0	0	81.5
1975	39	57	10	1	5	8	10	10	10	2	1	82.5
1974	40	32	5	1	2	3	6	6	2	6	1	84.4
1973	41	30	6	0	1	5	5	4	6	3	0	80
1972	42	35	6	1	1	5	8	10	3	1	0	82.9
1971	43	35	9	0	0	3	8	9	3	3	0	74.3
1970	44	27	7	0	1	3	5	4	3	4	0	74.1
1969	45	33	8	1	0	4	4	11	3	1	1	75.8
1968	46	32	9	1	1	1	7	3	3	6	1	71.9
1967	47	21	8	0	3	2	2	2	4	0	0	61.9
1966	48	20	4	0	0	2	2	3	6	3	0	80
1965	49	31	7	1	1	0	7	5	3	3	4	77.4
1964	50	26	9	1	1	1	3	2	8	1	0	65.4
1963	51	32	10	0	1	2	4	9	6	0	0	68.8
1962	52	33	6	0	0	4	6	5	8	3	1	81.8
1961	53	20	2	0	0	2	4	10	1	1	0	90
1960	54	26	5	0	0	2	6	8	2	3	0	80.8
1959	55	21	3	0	1	1	4	3	5	3	1	85.7
1958	56	24	4	0	1	3	4	6	4	2	0	83.3
1957	57	22	3	0	1	5	5	2	4	2	0	86.4
1956	58	17	2	1	1	0	4	0	5	1	3	88.2
1955	59	15	0	2	2	0	1	5	2	0	3	100
1954	60	20	0	0	2	2	6	3	5	0	2	100
1953	61	25	3	0	1	2	4	11	1	2	1	88
1952	62	16	3	1	1	2	3	1	3	2	0	81.3
1951	63	12	2	0	0	1	1	3	4	0	1	83.3
1950	64	15	0	1	1	4	3	3	1	2	0	100
1949	65	11	0	1	1	1	6	1	0	1	0	100
1948	66	9	0	0	1	1	2	1	2	1	1	100
1947	67	8	0	0	1	2	1	2	2	0	0	100
1946	68	1	0	0	0	0	0	1	0	0	0	100
1945	69	2	1	0	0	1	0	0	0	0	0	50
1944	70-	23	2	1	1	2	3	4	3	3	4	91.3
