birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2013	0-5M	16	3	2	2	4	4	1	0	0	0	81.3%
2013	6-11M	39	34	3	1	0	1	0	0	0	0	12.8%
2012	1	102	24	6	8	14	15	20	11	3	1	76.5%
2011	2	60	2	4	8	8	15	13	10	0	0	96.7%
2010	3	65	3	2	1	16	21	14	7	1	0	95.4%
2009	4	58	1	3	9	17	14	10	3	1	0	98.3%
2008	5	49	0	4	7	12	10	9	5	1	1	100.0%
2007	6	45	0	2	5	11	18	5	1	3	0	100.0%
2006	7	46	2	2	6	14	10	7	2	2	1	95.7%
2005	8	33	1	2	5	13	9	2	1	0	0	97.0%
2004	9	36	1	0	2	7	18	7	0	1	0	97.2%
2003	10	39	0	4	8	11	14	1	1	0	0	100.0%
2002	11	41	2	0	11	13	9	6	0	0	0	95.1%
2001	12	53	3	0	8	24	7	8	1	1	1	94.3%
2000	13	62	3	1	8	24	17	7	1	1	0	95.2%
1999	14	38	0	3	6	15	9	5	0	0	0	100.0%
1998	15	45	4	0	4	18	10	7	0	2	0	91.1%
1997	16	38	1	0	5	10	10	9	2	1	0	97.4%
1996	17	31	0	3	2	10	9	5	2	0	0	100.0%
1995	18	42	2	1	10	10	13	3	3	0	0	95.2%
1994	19	42	1	1	4	13	11	5	5	2	0	97.6%
1993	20	42	3	1	7	8	16	3	3	1	0	92.9%
1992	21	28	3	0	4	4	10	4	3	0	0	89.3%
1991	22	33	1	3	7	7	10	3	1	0	1	97.0%
1990	23	50	4	5	10	6	10	8	6	1	0	92.0%
1989	24	54	4	4	6	14	12	9	4	0	1	92.6%
1988	25	62	3	2	11	18	9	10	7	2	0	95.2%
1987	26	60	1	2	8	14	19	10	4	2	0	98.3%
1986	27	55	5	2	3	16	13	3	9	4	0	90.9%
1985	28	48	3	0	3	12	10	6	12	1	1	93.8%
1984	29	46	2	0	3	7	13	10	7	4	0	95.7%
1983	30	38	0	0	0	6	11	10	6	4	1	100.0%
1982	31	48	1	1	3	11	14	4	9	5	0	97.9%
1981	32	56	3	1	5	9	13	10	10	3	2	94.6%
1980	33	54	10	0	2	5	12	14	4	5	2	81.5%
1979	34	50	7	1	3	7	11	12	6	1	2	86.0%
1978	35	46	14	0	1	5	8	8	8	2	0	69.6%
1977	36	57	12	3	5	13	8	6	5	3	2	78.9%
1976	37	50	11	4	2	9	12	6	4	2	0	78.0%
1975	38	61	14	2	5	6	9	13	5	2	5	77.0%
1974	39	45	8	0	2	8	11	7	6	3	0	82.2%
1973	40	28	7	5	0	2	3	4	4	2	1	75.0%
1972	41	36	4	3	2	7	6	7	4	3	0	88.9%
1971	42	37	5	2	2	5	9	5	8	1	0	86.5%
1970	43	38	4	1	1	3	7	14	4	4	0	89.5%
1969	44	27	3	3	1	2	4	5	3	3	3	88.9%
1968	45	31	5	2	1	2	4	8	4	3	2	83.9%
1967	46	13	2	0	0	1	2	1	5	2	0	84.6%
1966	47	36	9	1	0	6	7	4	5	3	1	75.0%
1965	48	27	3	3	0	4	5	2	5	4	1	88.9%
1964	49	33	8	2	1	2	5	4	6	2	3	75.8%
1963	50	19	4	2	0	3	2	3	3	1	1	78.9%
1962	51	20	3	1	0	1	4	4	6	0	1	85.0%
1961	52	38	3	1	0	5	6	9	10	3	1	92.1%
1960	53	28	5	2	1	2	5	4	2	2	5	82.1%
1959	54	20	3	2	1	2	3	6	1	2	0	85.0%
1958	55	28	5	3	2	6	5	3	1	2	1	82.1%
1957	56	24	2	0	1	4	3	8	5	1	0	91.7%
1956	57	12	1	2	1	0	0	3	4	0	1	91.7%
1955	58	20	3	0	0	1	5	6	3	1	1	85.0%
1954	59	15	0	1	1	1	2	3	4	2	1	100.0%
1953	60	18	2	0	2	4	5	2	2	0	1	88.9%
1952	61	12	0	0	1	8	2	0	1	0	0	100.0%
1951	62	12	1	0	0	2	2	1	3	2	1	91.7%
1950	63	12	1	0	2	0	5	2	2	0	0	91.7%
1949	64	12	0	2	1	4	1	2	1	1	0	100.0%
1948	65	5	0	0	0	1	2	1	1	0	0	100.0%
1947	66	4	0	0	0	2	1	1	0	0	0	100.0%
1946	67	6	0	0	0	3	0	3	0	0	0	100.0%
1945	68	3	0	0	0	2	0	1	0	0	0	100.0%
1944	69	5	0	0	0	1	2	0	0	2	0	100.0%
1943	70-	4	0	0	0	1	1	1	1	0	0	100.0%
