birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2017,0-5M,16,8,2,4,0,2,0,0,0,0,50
2017,6-11M,31,27,1,1,2,0,0,0,0,0,12.9
2016,1,108,25,7,11,13,17,13,12,7,3,76.9
2015,2,76,8,6,5,8,15,17,14,2,1,89.5
2014,3,60,5,2,10,17,13,8,4,1,0,91.7
2013,4,52,8,3,6,11,10,9,5,0,0,84.6
2012,5,58,3,3,11,11,15,7,7,1,0,94.8
2011,6,55,4,4,6,12,15,9,5,0,0,92.7
2010,7,40,2,1,10,6,12,7,2,0,0,95
2009,8,28,0,2,8,10,3,3,2,0,0,100
2008,9,43,1,4,9,12,7,6,4,0,0,97.7
2007,10,51,4,2,10,19,10,6,0,0,0,92.2
2006,11,31,1,1,6,14,4,1,3,1,0,96.8
2005,12,48,1,1,12,18,9,4,3,0,0,97.9
2004,13,56,6,1,13,15,8,9,3,1,0,89.3
2003,14,22,0,0,5,8,5,3,1,0,0,100
2002,15,61,6,4,18,20,8,4,1,0,0,90.2
2001,16,57,3,5,13,20,8,5,3,0,0,94.7
2000,17,33,1,4,7,9,9,2,0,1,0,97
1999,18,60,0,1,10,19,16,8,4,1,1,100
1998,19,49,4,1,8,14,9,7,1,3,2,91.8
1997,20,53,2,2,8,10,19,10,2,0,0,96.2
1996,21,57,2,7,10,11,16,8,1,1,1,96.5
1995,22,46,1,1,6,17,12,6,3,0,0,97.8
1994,23,55,5,2,11,16,13,7,0,1,0,90.9
1993,24,65,4,7,12,18,13,7,2,2,0,93.8
1992,25,39,2,0,3,8,12,8,3,3,0,94.9
1991,26,42,0,1,6,10,10,5,10,0,0,100
1990,27,50,4,4,9,12,11,7,2,1,0,92
1989,28,61,7,3,14,14,14,6,1,2,0,88.5
1988,29,59,6,3,10,17,7,6,6,4,0,89.8
1987,30,52,6,1,5,10,12,7,9,0,2,88.5
1986,31,50,5,3,4,8,10,14,3,3,0,90
1985,32,64,8,1,1,12,14,17,7,3,1,87.5
1984,33,64,2,0,6,6,20,14,11,5,0,96.9
1983,34,58,3,1,3,8,16,16,6,5,0,94.8
1982,35,45,3,3,1,10,10,7,6,3,2,93.3
1981,36,55,3,1,2,10,10,15,7,5,2,94.5
1980,37,47,12,1,4,6,7,11,4,2,0,74.5
1979,38,60,17,4,1,8,7,9,8,6,0,71.7
1978,39,48,5,0,2,10,9,9,8,5,0,89.6
1977,40,34,6,1,1,4,5,10,6,0,1,82.4
1976,41,40,7,2,0,4,10,9,3,2,3,82.5
1975,42,29,1,0,1,3,5,12,4,3,0,96.6
1974,43,43,12,0,1,4,9,12,4,1,0,72.1
1973,44,34,7,0,4,3,10,3,2,4,1,79.4
1972,45,30,6,0,0,3,6,10,3,2,0,80
1971,46,26,9,0,1,6,0,8,2,0,0,65.4
1970,47,38,12,0,2,4,9,6,3,2,0,68.4
1969,48,30,6,0,1,5,5,8,3,1,1,80
1968,49,31,2,1,0,8,6,6,5,2,1,93.5
1967,50,30,5,0,0,6,6,6,7,0,0,83.3
1966,51,17,3,0,1,1,6,4,2,0,0,82.4
1965,52,39,10,1,2,5,9,5,3,4,0,74.4
1964,53,34,9,0,2,3,5,3,8,3,1,73.5
1963,54,33,9,1,3,3,2,8,7,0,0,72.7
1962,55,30,3,0,2,2,6,5,7,2,3,90
1961,56,23,1,1,0,4,6,2,6,2,1,95.7
1960,57,27,5,1,1,2,6,4,4,2,2,81.5
1959,58,28,4,0,2,3,8,6,1,3,1,85.7
1958,59,18,2,1,1,2,3,5,1,3,0,88.9
1957,60,22,4,1,1,4,4,5,1,1,1,81.8
1956,61,28,4,1,1,4,4,7,4,0,3,85.7
1955,62,21,4,0,0,4,6,3,2,2,0,81
1954,63,26,1,0,2,4,4,6,5,3,1,96.2
1953,64,14,1,0,1,4,1,3,2,0,2,92.9
1952,65,13,0,0,1,3,3,3,0,2,1,100
1951,66,11,0,2,2,2,1,3,1,0,0,100
1950,67,8,0,0,2,2,2,1,1,0,0,100
1949,68,5,0,0,1,0,3,0,1,0,0,100
1948,69,12,2,0,2,5,0,1,1,0,1,83.3
-1947,-70,7,0,0,0,0,1,2,0,2,2,100
