birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2010	0-5M	15	7	3	4	1	0	0	0	0	0	53.3%
2010	6-11M	38	38	0	0	0	0	0	0	0	0	0.0%
2009	1	89	31	1	2	7	12	18	12	5	1	65.2%
2008	2	80	3	1	5	5	19	30	13	3	1	96.3%
2007	3	73	3	5	9	12	16	17	10	1	0	95.9%
2006	4	59	3	1	8	16	17	13	0	1	0	94.9%
2005	5	50	2	2	4	8	15	14	4	1	0	96.0%
2004	6	56	0	2	4	17	14	9	5	3	2	100.0%
2003	7	37	1	2	1	4	11	10	4	4	0	97.3%
2002	8	49	3	0	5	13	18	7	3	0	0	93.9%
2001	9	55	1	1	6	14	17	14	1	1	0	98.2%
2000	10	80	7	4	13	18	21	9	5	3	0	91.3%
1999	11	63	3	4	13	16	15	7	3	2	0	95.2%
1998	12	43	6	2	4	13	11	5	1	1	0	86.0%
1997	13	58	2	4	6	8	10	14	10	3	1	96.6%
1996	14	56	0	0	12	12	20	5	4	3	0	100.0%
1995	15	71	7	4	13	17	15	9	4	1	1	90.1%
1994	16	53	11	3	11	12	6	7	2	1	0	79.2%
1993	17	39	1	4	8	14	5	5	2	0	0	97.4%
1992	18	29	1	1	1	9	6	6	4	1	0	96.6%
1991	19	25	0	1	1	11	7	3	2	0	0	100.0%
1990	20	25	4	1	4	3	7	4	1	1	0	84.0%
1989	21	31	4	2	5	5	3	5	2	4	1	87.1%
1988	22	38	1	0	4	8	9	12	2	2	0	97.4%
1987	23	42	3	2	2	9	8	9	8	1	0	92.9%
1986	24	48	2	2	3	3	14	13	7	3	1	95.8%
1985	25	38	3	0	1	6	8	12	6	1	1	92.1%
1984	26	33	1	0	2	9	5	6	6	3	1	97.0%
1983	27	41	7	1	1	4	11	6	8	3	0	82.9%
1982	28	40	4	1	1	5	12	11	5	1	0	90.0%
1981	29	38	5	1	1	3	11	9	4	3	1	86.8%
1980	30	42	16	1	2	1	5	8	7	2	0	61.9%
1979	31	54	13	1	0	4	8	16	12	0	0	75.9%
1978	32	47	12	0	1	4	9	12	7	2	0	74.5%
1977	33	54	15	1	1	6	9	9	8	4	1	72.2%
1976	34	51	12	0	0	10	13	5	8	1	2	76.5%
1975	35	45	4	0	3	7	10	7	12	1	1	91.1%
1974	36	51	12	1	2	7	10	11	6	2	0	76.5%
1973	37	46	13	0	2	6	7	11	7	0	0	71.7%
1972	38	42	5	2	0	4	12	9	7	2	1	88.1%
1971	39	52	15	2	4	3	13	4	9	1	1	71.2%
1970	40	27	6	1	0	2	5	7	6	0	0	77.8%
1969	41	24	5	0	1	3	1	5	5	3	1	79.2%
1968	42	19	5	0	1	1	3	3	3	3	0	73.7%
1967	43	35	8	0	2	3	5	5	7	5	0	77.1%
1966	44	17	4	0	2	1	2	3	2	1	2	76.5%
1965	45	23	5	0	0	1	4	6	5	2	0	78.3%
1964	46	10	3	0	1	1	2	0	3	0	0	70.0%
1963	47	25	6	0	1	1	5	5	3	3	1	76.0%
1962	48	21	2	0	1	2	6	4	4	1	1	90.5%
1961	49	21	2	0	1	5	7	2	1	3	0	90.5%
1960	50	20	2	0	2	4	2	4	5	1	0	90.0%
1959	51	24	4	0	0	4	7	4	3	1	1	83.3%
1958	52	20	3	0	0	4	4	4	2	2	1	85.0%
1957	53	18	2	0	1	2	4	4	3	2	0	88.9%
1956	54	17	3	0	0	3	2	6	1	2	0	82.4%
1955	55	15	0	0	0	2	2	6	3	2	0	100.0%
1954	56	20	1	1	2	2	5	3	3	2	1	95.0%
1953	57	21	2	2	1	3	5	2	5	0	1	90.5%
1952	58	19	1	1	2	3	4	6	1	1	0	94.7%
1951	59	17	0	0	3	3	4	3	4	0	0	100.0%
1950	60	26	3	1	1	3	6	3	6	0	3	88.5%
1949	61	28	1	0	3	4	6	4	5	3	2	96.4%
1948	62	17	2	0	1	5	0	1	6	1	1	88.2%
1947	63	13	0	0	0	2	2	3	2	2	2	100.0%
1946	64	4	0	1	0	1	0	2	0	0	0	100.0%
1945	65	8	1	0	0	1	3	1	2	0	0	87.5%
1944	66	4	0	0	1	1	0	1	0	0	1	100.0%
1943	67	2	0	0	0	0	0	1	0	0	1	100.0%
1942	68	6	1	0	1	0	2	2	0	0	0	83.3%
1941	69	2	0	0	0	0	1	0	1	0	0	100.0%
1940	70-	15	0	1	2	2	3	3	1	2	1	100.0%
