birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2008	0-5M	11	6	2	0	1	1	0	0	1	0	45.5%
2008	6-11M	32	28	3	0	0	0	0	0	0	1	12.5%
2007	1	80	28	3	4	7	13	7	15	1	2	65.0%
2006	2	58	2	2	1	5	15	14	11	5	3	96.6%
2005	3	59	3	4	3	12	15	13	7	2	0	94.9%
2004	4	41	1	2	0	6	10	13	5	3	1	97.6%
2003	5	45	1	3	2	10	13	9	5	1	1	97.8%
2002	6	58	1	2	7	10	17	13	5	3	0	98.3%
2001	7	34	0	3	1	12	10	6	2	0	0	100.0%
2000	8	40	3	2	4	10	14	5	1	1	0	92.5%
1999	9	33	1	2	6	14	4	2	4	0	0	97.0%
1998	10	58	5	5	7	15	15	7	3	1	0	91.4%
1997	11	34	2	4	3	10	9	4	2	0	0	94.1%
1996	12	46	3	2	8	13	12	6	2	0	0	93.5%
1995	13	58	8	2	8	17	13	8	2	0	0	86.2%
1994	14	32	4	0	1	8	10	5	4	0	0	87.5%
1993	15	67	9	6	12	11	17	9	3	0	0	86.6%
1992	16	36	7	3	4	6	6	6	3	1	0	80.6%
1991	17	28	3	0	5	10	8	2	0	0	0	89.3%
1990	18	19	2	2	1	5	6	2	1	0	0	89.5%
1989	19	39	4	5	7	9	6	8	0	0	0	89.7%
1988	20	36	5	1	2	9	9	5	2	3	0	86.1%
1987	21	25	3	0	3	6	8	4	0	1	0	88.0%
1986	22	19	2	0	3	3	5	3	2	1	0	89.5%
1985	23	27	4	0	3	2	6	7	3	2	0	85.2%
1984	24	30	0	0	2	3	8	7	8	2	0	100.0%
1983	25	41	2	0	2	4	10	16	4	2	1	95.1%
1982	26	46	2	0	2	5	16	8	6	7	0	95.7%
1981	27	38	7	0	2	3	6	12	5	2	1	81.6%
1980	28	32	8	0	2	4	7	4	6	1	0	75.0%
1979	29	47	6	3	2	4	15	10	3	3	1	87.2%
1978	30	48	12	0	2	6	12	8	4	3	1	75.0%
1977	31	42	8	2	2	6	9	10	4	1	0	81.0%
1976	32	53	6	2	3	9	14	11	6	1	1	88.7%
1975	33	63	14	3	4	5	13	10	11	2	1	77.8%
1974	34	70	20	1	3	2	16	11	11	4	2	71.4%
1973	35	48	10	1	0	5	10	11	10	1	0	79.2%
1972	36	46	14	1	4	2	8	12	4	1	0	69.6%
1971	37	41	7	1	0	6	12	9	4	2	0	82.9%
1970	38	44	9	0	1	5	12	10	4	2	1	79.5%
1969	39	38	8	0	2	3	10	7	5	3	0	78.9%
1968	40	21	1	1	2	5	3	4	3	1	1	95.2%
1967	41	22	6	1	1	0	6	6	1	0	1	72.7%
1966	42	28	6	2	0	3	7	3	4	2	1	78.6%
1965	43	24	6	1	1	5	2	4	4	0	1	75.0%
1964	44	27	6	0	1	3	3	8	4	2	0	77.8%
1963	45	22	2	1	1	2	8	4	3	1	0	90.9%
1962	46	32	5	0	2	4	5	6	6	0	4	84.4%
1961	47	25	2	0	3	3	3	5	7	2	0	92.0%
1960	48	32	6	1	0	1	10	7	4	3	0	81.3%
1959	49	18	4	0	3	2	3	2	1	2	1	77.8%
1958	50	22	2	0	1	2	6	6	1	3	1	90.9%
1957	51	18	1	0	3	3	3	6	2	0	0	94.4%
1956	52	13	2	0	2	3	2	2	1	1	0	84.6%
1955	53	26	3	1	5	2	3	7	1	3	1	88.5%
1954	54	21	1	1	1	3	1	4	4	5	1	95.2%
1953	55	18	2	2	2	3	1	5	3	0	0	88.9%
1952	56	17	2	1	0	3	2	7	2	0	0	88.2%
1951	57	22	0	0	1	4	11	2	2	1	1	100.0%
1950	58	17	1	2	3	0	5	2	1	3	0	94.1%
1949	59	23	3	2	2	4	5	2	2	3	0	87.0%
1948	60	12	0	0	0	4	4	3	0	0	1	100.0%
1947	61	11	0	0	1	3	4	0	3	0	0	100.0%
1946	62	3	0	0	0	0	2	1	0	0	0	100.0%
1945	63	10	0	2	0	0	4	3	1	0	0	100.0%
1944	64	3	0	0	1	1	0	0	1	0	0	100.0%
1943	65	7	0	1	0	1	2	2	0	1	0	100.0%
1942	66	5	0	0	1	2	1	1	0	0	0	100.0%
1941	67	6	0	0	1	1	1	2	1	0	0	100.0%
1940	68	2	0	0	0	1	0	0	1	0	0	100.0%
1939	69	1	0	0	0	1	0	0	0	0	0	100.0%
1938	70-	10	0	0	0	1	1	2	3	2	1	100.0%
