birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2011,0-5M,11,5,0,0,2,2,1,1,0,0,54.5%
2011,6-11M,31,24,1,1,1,2,2,0,0,0,22.6%
2010,1,103,30,4,3,10,27,12,11,2,4,70.9%
2009,2,56,2,2,5,6,13,16,9,1,2,96.4%
2008,3,63,2,4,8,15,14,13,6,1,0,96.8%
2007,4,51,2,4,8,11,14,8,2,2,0,96.1%
2006,5,39,1,5,8,5,9,6,4,1,0,97.4%
2005,6,58,0,2,4,9,12,19,6,5,1,100.0%
2004,7,30,1,0,2,7,10,7,2,0,1,96.7%
2003,8,36,2,2,5,6,16,4,0,1,0,94.4%
2002,9,38,2,1,6,10,14,3,2,0,0,94.7%
2001,10,61,0,1,7,16,9,20,6,2,0,100.0%
2000,11,43,7,0,8,13,8,5,1,1,0,83.7%
1999,12,38,1,2,7,14,9,4,1,0,0,97.4%
1998,13,47,3,0,1,11,12,10,9,0,1,93.6%
1997,14,79,2,3,4,21,18,20,7,4,0,97.5%
1996,15,54,2,1,5,7,12,13,10,4,0,96.3%
1995,16,30,4,4,5,5,5,3,4,0,0,86.7%
1994,17,41,3,3,9,11,10,4,1,0,0,92.7%
1993,18,75,4,2,1,5,26,29,1,6,1,94.7%
1992,19,25,1,1,1,1,7,9,4,0,1,96.0%
1991,20,21,0,3,1,4,5,2,6,0,0,100.0%
1990,21,29,3,2,5,2,6,5,5,1,0,89.7%
1989,22,22,1,1,3,8,1,3,2,2,1,95.5%
1988,23,54,2,5,10,12,14,5,4,1,1,96.3%
1987,24,32,2,0,2,4,9,8,5,1,1,93.8%
1986,25,63,3,1,1,12,24,8,12,1,1,95.2%
1985,26,44,4,0,4,7,10,9,5,4,1,90.9%
1984,27,43,5,0,3,9,9,6,5,5,1,88.4%
1983,28,47,7,2,4,5,10,6,9,4,0,85.1%
1982,29,36,3,0,0,10,10,5,3,4,1,91.7%
1981,30,36,3,1,2,4,7,8,11,0,0,91.7%
1980,31,54,5,2,2,5,12,14,5,6,3,90.7%
1979,32,57,11,1,3,7,14,13,7,1,0,80.7%
1978,33,57,14,0,6,7,6,13,6,4,1,75.4%
1977,34,52,12,1,4,4,11,10,5,2,3,76.9%
1976,35,41,4,0,4,11,8,8,2,0,4,90.2%
1975,36,46,11,2,3,7,10,6,5,0,2,76.1%
1974,37,48,11,0,5,6,7,6,6,4,3,77.1%
1973,38,67,17,1,2,9,13,5,10,4,6,74.6%
1972,39,36,6,1,1,4,6,7,5,2,4,83.3%
1971,40,25,8,0,1,1,2,6,6,0,1,68.0%
1970,41,24,2,1,1,1,4,10,3,2,0,91.7%
1969,42,25,0,0,1,2,5,7,7,2,1,100.0%
1968,43,20,2,1,0,2,2,5,6,1,1,90.0%
1967,44,28,6,1,1,3,6,6,1,2,2,78.6%
1966,45,23,5,0,3,2,2,4,0,3,4,78.3%
1965,46,30,8,0,2,2,6,5,4,2,1,73.3%
1964,47,26,3,0,4,2,2,8,3,3,1,88.5%
1963,48,19,4,0,1,2,3,2,3,3,1,78.9%
1962,49,24,3,0,2,1,4,6,6,1,1,87.5%
1961,50,20,3,0,2,2,5,2,2,2,2,85.0%
1960,51,23,5,0,0,0,6,4,4,2,2,78.3%
1959,52,19,5,0,0,2,2,1,6,0,3,73.7%
1958,53,27,2,0,0,2,5,8,4,4,2,92.6%
1957,54,15,4,0,1,2,3,2,3,0,0,73.3%
1956,55,13,3,0,1,1,3,5,0,0,0,76.9%
1955,56,21,0,0,0,4,6,6,3,2,0,100.0%
1954,57,14,1,3,2,2,3,2,0,0,1,92.9%
1953,58,13,1,0,1,2,2,1,4,0,2,92.3%
1952,59,17,0,1,0,2,4,4,5,1,0,100.0%
1951,60,11,0,1,0,2,2,2,2,1,1,100.0%
1950,61,15,0,0,0,0,5,3,3,4,0,100.0%
1949,62,18,0,1,0,2,1,3,4,4,3,100.0%
1948,63,18,4,0,0,2,3,1,2,3,3,77.8%
1947,64,7,0,0,0,1,3,0,1,1,1,100.0%
1946,65,1,0,0,0,0,0,0,1,0,0,100.0%
1945,66,4,0,0,0,1,0,2,1,0,0,100.0%
1944,67,8,0,0,1,0,3,2,0,0,2,100.0%
1943,68,6,1,0,0,0,0,2,2,0,1,83.3%
1942,69,8,0,0,0,2,1,2,2,0,1,100.0%
1941,70-,29,1,1,1,2,9,8,4,1,2,96.6%
