birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2009	0-5M	10	5	3	0	1	0	0	0	0	1	50.0%
2009	6-11M	33	30	0	0	1	1	0	0	1	0	9.1%
2008	1	57	16	2	1	3	11	4	12	4	4	71.9%
2007	2	56	5	1	4	4	8	11	13	6	4	91.1%
2006	3	54	2	1	5	8	10	12	5	6	5	96.3%
2005	4	54	2	1	4	14	13	8	8	4	0	96.3%
2004	5	42	2	1	1	15	12	4	4	3	0	95.2%
2003	6	43	4	2	2	4	10	6	2	4	9	90.7%
2002	7	59	1	2	7	7	18	14	5	2	3	98.3%
2001	8	33	1	0	4	9	10	8	1	0	0	97.0%
2000	9	58	9	6	12	11	17	3	0	0	0	84.5%
1999	10	73	9	6	6	15	17	16	2	2	0	87.7%
1998	11	42	5	4	5	10	4	11	2	1	0	88.1%
1997	12	41	3	4	5	15	3	6	2	2	1	92.7%
1996	13	56	0	1	9	12	17	10	4	3	0	100.0%
1995	14	45	4	1	8	11	8	8	4	0	1	91.1%
1994	15	49	10	0	2	15	15	2	3	2	0	79.6%
1993	16	40	7	4	5	11	6	5	0	2	0	82.5%
1992	17	41	10	7	10	3	6	3	2	0	0	75.6%
1991	18	18	1	2	1	4	5	5	0	0	0	94.4%
1990	19	25	2	0	1	6	9	3	3	1	0	92.0%
1989	20	27	5	1	2	5	6	4	4	0	0	81.5%
1988	21	22	3	3	2	4	5	3	1	1	0	86.4%
1987	22	24	0	2	3	3	6	2	3	2	3	100.0%
1986	23	39	6	0	4	3	6	8	4	5	3	84.6%
1985	24	30	2	1	0	8	8	6	5	0	0	93.3%
1984	25	23	0	0	1	5	8	4	1	3	1	100.0%
1983	26	40	2	0	2	11	7	10	5	2	1	95.0%
1982	27	40	7	1	2	5	8	13	3	1	0	82.5%
1981	28	42	4	0	5	7	13	6	6	1	0	90.5%
1980	29	24	5	0	1	4	8	4	2	0	0	79.2%
1979	30	40	9	0	0	2	13	9	4	2	1	77.5%
1978	31	49	8	2	1	5	10	9	11	3	0	83.7%
1977	32	37	4	1	0	8	8	7	5	3	1	89.2%
1976	33	53	10	1	1	5	11	11	6	8	0	81.1%
1975	34	43	6	1	2	5	10	11	6	1	1	86.0%
1974	35	37	7	0	1	6	4	10	7	2	0	81.1%
1973	36	47	10	2	0	8	6	7	11	3	0	78.7%
1972	37	45	10	2	3	5	6	12	5	2	0	77.8%
1971	38	46	14	2	1	4	13	8	2	2	0	69.6%
1970	39	41	12	0	1	3	7	12	4	2	0	70.7%
1969	40	20	3	0	2	2	5	4	3	1	0	85.0%
1968	41	15	3	0	0	3	1	3	2	2	1	80.0%
1967	42	19	4	0	0	3	1	5	4	2	0	78.9%
1966	43	24	4	0	4	2	1	7	5	1	0	83.3%
1965	44	20	6	1	1	2	5	2	1	2	0	70.0%
1964	45	24	5	1	1	4	1	6	5	0	1	79.2%
1963	46	20	3	0	0	4	3	4	4	2	0	85.0%
1962	47	27	8	0	0	1	4	4	3	5	2	70.4%
1961	48	19	3	0	1	2	3	4	5	0	1	84.2%
1960	49	25	6	0	1	5	5	7	1	0	0	76.0%
1959	50	18	3	0	0	3	5	1	6	0	0	83.3%
1958	51	21	5	0	2	2	7	3	1	1	0	76.2%
1957	52	22	7	1	1	2	5	5	1	0	0	68.2%
1956	53	17	4	0	1	2	4	2	3	1	0	76.5%
1955	54	15	3	0	0	1	2	4	4	1	0	80.0%
1954	55	20	3	1	2	3	3	5	1	2	0	85.0%
1953	56	16	1	0	4	4	1	2	3	1	0	93.8%
1952	57	17	3	0	2	2	5	1	3	1	0	82.4%
1951	58	15	4	0	0	1	4	2	3	1	0	73.3%
1950	59	18	1	1	3	1	5	0	4	2	1	94.4%
1949	60	19	0	0	5	3	2	2	4	2	1	100.0%
1948	61	14	0	1	2	2	2	1	2	4	0	100.0%
1947	62	14	1	1	0	3	2	2	3	1	1	92.9%
1946	63	2	0	0	0	1	0	0	0	1	0	100.0%
1945	64	7	0	0	0	3	0	0	3	1	0	100.0%
1944	65	9	0	0	0	5	2	1	0	1	0	100.0%
1943	66	4	1	0	0	0	0	0	1	2	0	75.0%
1942	67	8	1	0	0	1	4	0	1	0	1	87.5%
1941	68	4	0	0	0	0	1	1	0	2	0	100.0%
1940	69	3	0	0	0	1	0	0	1	1	0	100.0%
1939	70-	8	0	1	1	3	2	1	0	0	0	100.0%
